id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Erin Blanchfield,125,,,"May 04, 1999",0.0,21.666666666666700,1.4444444444444400,0.6666666666666670,0.8888888888888890,1,0,9,8,,0,0,189,1112.9375862027200,1050.3795812940200,0,0,1,2,4,2,0,0,0,0,Maycee Barber,,,,"May 18, 1998",-0.07142857142857140,25.071428571428600,0.35714285714285700,0.0,0.8571428571428570,6,0,14,12,,0,0,302,1135.433085404830,1016.1281728909300,4,3,0,0,3,2,2,0,0,0,unknown,,,
,,unknown,Maycee Barber,125,,,"May 18, 1998",-0.07142857142857140,25.071428571428600,0.35714285714285700,0.0,0.8571428571428570,6,0,14,12,,0,0,302,1135.433085404830,1016.1281728909300,4,3,0,0,3,2,2,0,0,0,Erin Blanchfield,,,,"May 04, 1999",0.0,21.666666666666700,1.4444444444444400,0.6666666666666670,0.8888888888888890,1,0,9,8,,0,0,189,1112.9375862027200,1050.3795812940200,0,0,1,2,4,2,0,0,0,0,unknown,,,
,,unknown,Mateusz Gamrot,155,,,"Dec 11, 1990",-0.45454545454545500,1.4545454545454500,4.2727272727272700,0.09090909090909090,0.6363636363636360,0,1,11,7,,0,0,3178,1073.4075905634300,1068.8995577317400,1,2,1,0,2,1,2,2,0,0,Ludovit Klein,,,,"Feb 22, 1995",0.5454545454545450,7.090909090909090,1.0909090909090900,-0.36363636363636400,0.7272727272727270,6,0,11,8,,0,0,1686,1088.5173258739900,1005.169278616280,1,2,0,1,2,3,1,0,0,0,unknown,,,
,,unknown,Ludovit Klein,155,,,"Feb 22, 1995",0.5454545454545450,7.090909090909090,1.0909090909090900,-0.36363636363636400,0.7272727272727270,6,0,11,8,,0,0,1686,1088.5173258739900,1005.169278616280,1,2,0,1,2,3,1,0,0,0,Mateusz Gamrot,,,,"Dec 11, 1990",-0.45454545454545500,1.4545454545454500,4.2727272727272700,0.09090909090909090,0.6363636363636360,0,1,11,7,,0,0,3178,1073.4075905634300,1068.8995577317400,1,2,1,0,2,1,2,2,0,0,unknown,,,
,,unknown,Billy Ray Goff,170,,,"Jun 18, 1998",0.25,21.25,1.25,-0.25,0.75,0,1,4,3,,0,0,334,1024.6019809577800,974.8058491273580,2,1,0,0,0,1,0,0,0,0,Ramiz Brahimaj,,,,"Nov 17, 1992",0.0,-16.714285714285700,-0.7142857142857140,0.5714285714285710,0.42857142857142900,1,0,7,3,,0,0,2562,988.8243661578610,997.1445928560420,2,1,2,0,0,2,0,0,0,0,unknown,,,
,,unknown,Ramiz Brahimaj,170,,,"Nov 17, 1992",0.0,-16.714285714285700,-0.7142857142857140,0.5714285714285710,0.42857142857142900,1,0,7,3,,0,0,2562,988.8243661578610,997.1445928560420,2,1,2,0,0,2,0,0,0,0,Billy Ray Goff,,,,"Jun 18, 1998",0.25,21.25,1.25,-0.25,0.75,0,1,4,3,,0,0,334,1024.6019809577800,974.8058491273580,2,1,0,0,0,1,0,0,0,0,unknown,,,
,,unknown,Dustin Jacoby,205,,,"Apr 04, 1988",0.05555555555555560,18.27777777777780,-0.9444444444444440,-0.1111111111111110,0.5555555555555560,1,0,18,10,,0,0,4278,1051.2296958925100,1023.430678838330,5,1,1,0,3,6,0,1,0,0,Bruno Lopes,,,,"Apr 24, 1993",-0.8,-1.6,1.0,0.0,0.6,3,0,5,3,,0,0,2460,1020.6506260388000,1004.7482383980600,2,2,0,0,0,1,0,0,0,0,unknown,,,
,,unknown,Bruno Lopes,205,,,"Apr 24, 1993",-0.8,-1.6,1.0,0.0,0.6,3,0,5,3,,0,0,2460,1020.6506260388000,1004.7482383980600,2,2,0,0,0,1,0,0,0,0,Dustin Jacoby,,,,"Apr 04, 1988",0.05555555555555560,18.27777777777780,-0.9444444444444440,-0.1111111111111110,0.5555555555555560,1,0,18,10,,0,0,4278,1051.2296958925100,1023.430678838330,5,1,1,0,3,6,0,1,0,0,unknown,,,
,,unknown,Ketlen Vieira,135,,,"Aug 26, 1991",-0.07692307692307690,-16.23076923076920,1.3076923076923100,0.5384615384615380,0.6923076923076920,0,1,13,9,,0,0,2969,1068.5674309282300,1032.0933416541400,1,0,0,1,2,4,3,2,0,0,Macy Chiasson,,,,"Jul 27, 1991",0.16666666666666700,9.166666666666670,0.9166666666666670,-0.08333333333333330,0.75,2,0,12,9,,2,2,2901,1078.288522103710,1005.9277598199700,3,1,2,2,2,1,1,0,0,0,unknown,,,
,,unknown,Macy Chiasson,135,,,"Jul 27, 1991",0.16666666666666700,9.166666666666670,0.9166666666666670,-0.08333333333333330,0.75,2,0,12,9,,2,2,2901,1078.288522103710,1005.9277598199700,3,1,2,2,2,1,1,0,0,0,Ketlen Vieira,,,,"Aug 26, 1991",-0.07692307692307690,-16.23076923076920,1.3076923076923100,0.5384615384615380,0.6923076923076920,0,1,13,9,,0,0,2969,1068.5674309282300,1032.0933416541400,1,0,0,1,2,4,3,2,0,0,unknown,,,
