id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Michael Morales,,,,"Jun 24, 1999",0.75,18.75,0.75,-0.125,1.0,8,0,8,8,,0,0,68,1123.8552614404514,1025.968971759257,1,3,0,0,1,3,0,0,0,0,Gilbert Burns,,,,"Jul 20, 1986",-0.1111111111111111,-4.148148148148148,1.0740740740740742,0.4444444444444444,0.7037037037037037,0,3,27,19,,1,0,4804,1131.8041092855988,1062.5928637669113,3,4,5,2,7,6,0,0,0,0,unknown,,,
,,unknown,Gilbert Burns,,,,"Jul 20, 1986",-0.1111111111111111,-4.148148148148148,1.0740740740740742,0.4444444444444444,0.7037037037037037,0,3,27,19,,1,0,4804,1131.8041092855988,1062.5928637669113,3,4,5,2,7,6,0,0,0,0,Michael Morales,,,,"Jun 24, 1999",0.75,18.75,0.75,-0.125,1.0,8,0,8,8,,0,0,68,1123.8552614404514,1025.968971759257,1,3,0,0,1,3,0,0,0,0,unknown,,,
,,unknown,Mairon Santos,,,,"Jun 10, 2000",0.6666666666666666,19.0,-1.0,0.0,1.0,3,0,3,3,,0,0,88,1045.5663300046697,982.6673727457897,1,1,0,0,0,0,0,1,0,0,Sodiq Yusuff,,,,"May 19, 1993",0.07692307692307693,14.076923076923077,-0.5384615384615384,0.3076923076923077,0.7692307692307693,0,2,13,10,,0,0,2162,1086.7363360599768,1024.4326973876355,2,2,1,1,3,4,0,0,0,0,unknown,,,
,,unknown,Sodiq Yusuff,,,,"May 19, 1993",0.07692307692307693,14.076923076923077,-0.5384615384615384,0.3076923076923077,0.7692307692307693,0,2,13,10,,0,0,2162,1086.7363360599768,1024.4326973876355,2,2,1,1,3,4,0,0,0,0,Mairon Santos,,,,"Jun 10, 2000",0.6666666666666666,19.0,-1.0,0.0,1.0,3,0,3,3,,0,0,88,1045.5663300046697,982.6673727457897,1,1,0,0,0,0,0,1,0,0,unknown,,,
,,unknown,Nursulton Ruziboev,,,,"Nov 19, 1993",0.6666666666666666,-1.3333333333333333,-0.3333333333333333,0.0,0.8333333333333334,2,0,6,5,,0,0,2293,1063.0457218707475,1017.4679385173831,2,3,0,0,1,0,0,0,0,0,Dustin Stoltzfus,,,,"Nov 15, 1991",-0.09090909090909091,1.0,0.45454545454545453,0.18181818181818182,0.45454545454545453,1,0,11,5,,0,0,2916,992.0003830395415,1013.7874060256246,3,3,1,2,1,1,0,0,0,0,unknown,,,
,,unknown,Dustin Stoltzfus,,,,"Nov 15, 1991",-0.09090909090909091,1.0,0.45454545454545453,0.18181818181818182,0.45454545454545453,1,0,11,5,,0,0,2916,992.0003830395415,1013.7874060256246,3,3,1,2,1,1,0,0,0,0,Nursulton Ruziboev,,,,"Nov 19, 1993",0.6666666666666666,-1.3333333333333333,-0.3333333333333333,0.0,0.8333333333333334,2,0,6,5,,0,0,2293,1063.0457218707475,1017.4679385173831,2,3,0,0,1,0,0,0,0,0,unknown,,,
,,unknown,Melquizael Costa,,,,"Sep 14, 1996",-0.14285714285714285,10.142857142857142,-1.5714285714285714,0.0,0.5714285714285714,3,0,7,4,,0,0,1298,1030.6879873586945,1032.0412976718749,0,1,3,1,2,0,0,0,0,0,Julian Erosa,,,,"Jul 31, 1989",-0.4,1.6,0.0,0.3,0.6,3,0,20,12,,0,0,3914,1062.0183882661017,1018.7768642289532,6,5,4,0,1,1,2,1,0,0,unknown,,,
,,unknown,Julian Erosa,,,,"Jul 31, 1989",-0.4,1.6,0.0,0.3,0.6,3,0,20,12,,0,0,3914,1062.0183882661017,1018.7768642289532,6,5,4,0,1,1,2,1,0,0,Melquizael Costa,,,,"Sep 14, 1996",-0.14285714285714285,10.142857142857142,-1.5714285714285714,0.0,0.5714285714285714,3,0,7,4,,0,0,1298,1030.6879873586945,1032.0412976718749,0,1,3,1,2,0,0,0,0,0,unknown,,,
,,unknown,Jared Gordon,,,,"Sep 06, 1988",-0.0625,22.0,0.5625,-0.4375,0.5625,0,1,16,9,,0,0,3948,1052.5732600810395,1041.0388115108658,3,3,1,0,2,4,1,1,0,0,Thiago Moises,,,,"Mar 23, 1995",0.11764705882352941,-14.705882352941176,0.058823529411764705,0.6470588235294118,0.6470588235294118,1,0,17,11,,0,0,1762,1067.6877495129258,1021.4338206711192,3,2,2,3,4,3,0,0,0,0,unknown,,,
,,unknown,Thiago Moises,,,,"Mar 23, 1995",0.11764705882352941,-14.705882352941176,0.058823529411764705,0.6470588235294118,0.6470588235294118,1,0,17,11,,0,0,1762,1067.6877495129258,1021.4338206711192,3,2,2,3,4,3,0,0,0,0,Jared Gordon,,,,"Sep 06, 1988",-0.0625,22.0,0.5625,-0.4375,0.5625,0,1,16,9,,0,0,3948,1052.5732600810395,1041.0388115108658,3,3,1,0,2,4,1,1,0,0,unknown,,,
