id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Ilia Topuria,155,,,"Jan 21, 1997",0.5555555555555560,7.333333333333330,1.6666666666666700,1.0,1.0,9,0,9,9,,2,2,1015,1153.2642437900400,1071.8623788716200,1,4,0,1,1,2,0,0,0,0,Charles Oliveira,,,,"Oct 17, 1989",0.08571428571428570,1.4857142857142900,0.45714285714285700,1.0857142857142900,0.6857142857142860,1,0,35,24,,3,2,3689,1203.60316282006,1074.388593957790,3,5,7,14,2,2,0,1,0,0,unknown,,,
,,unknown,Charles Oliveira,155,,,"Oct 17, 1989",0.08571428571428570,1.4857142857142900,0.45714285714285700,1.0857142857142900,0.6857142857142860,1,0,35,24,,3,2,3689,1203.60316282006,1074.388593957790,3,5,7,14,2,2,0,1,0,0,Ilia Topuria,,,,"Jan 21, 1997",0.5555555555555560,7.333333333333330,1.6666666666666700,1.0,1.0,9,0,9,9,,2,2,1015,1153.2642437900400,1071.8623788716200,1,4,0,1,1,2,0,0,0,0,unknown,,,
,,unknown,Alexandre Pantoja,125,,,"Apr 16, 1990",0.15789473684210500,7.631578947368420,0.5789473684210530,0.7894736842105260,0.8421052631578950,9,0,19,16,,5,5,3529,1172.2848033696600,1025.1368876267700,2,0,5,1,5,3,1,2,0,0,Kai Kara-France,,,,"Mar 26, 1993",0.3076923076923080,20.692307692307700,-0.07692307692307690,-0.8461538461538460,0.6923076923076920,1,0,13,9,,1,0,2342,1069.8858954075800,1024.2868910826900,0,4,0,1,2,4,2,0,0,0,unknown,,,
,,unknown,Kai Kara-France,125,,,"Mar 26, 1993",0.3076923076923080,20.692307692307700,-0.07692307692307690,-0.8461538461538460,0.6923076923076920,1,0,13,9,,1,0,2342,1069.8858954075800,1024.2868910826900,0,4,0,1,2,4,2,0,0,0,Alexandre Pantoja,,,,"Apr 16, 1990",0.15789473684210500,7.631578947368420,0.5789473684210530,0.7894736842105260,0.8421052631578950,9,0,19,16,,5,5,3529,1172.2848033696600,1025.1368876267700,2,0,5,1,5,3,1,2,0,0,unknown,,,
,,unknown,Brandon Royval,125,,,"Aug 16, 1992",0.09090909090909090,15.181818181818200,-2.8181818181818200,0.5454545454545450,0.7272727272727270,2,0,11,8,,1,0,2620,1090.0658518688700,1049.2046384924000,1,1,3,2,1,0,1,2,0,0,Joshua Van,,,,"Oct 10, 2001",0.1111111111111110,35.666666666666700,-0.4444444444444440,-0.1111111111111110,0.8888888888888890,3,0,9,8,,0,0,575,1092.0173517351000,983.9906946023740,2,1,0,0,0,4,1,1,0,0,unknown,,,
,,unknown,Joshua Van,125,,,"Oct 10, 2001",0.1111111111111110,35.666666666666700,-0.4444444444444440,-0.1111111111111110,0.8888888888888890,3,0,9,8,,0,0,575,1092.0173517351000,983.9906946023740,2,1,0,0,0,4,1,1,0,0,Brandon Royval,,,,"Aug 16, 1992",0.09090909090909090,15.181818181818200,-2.8181818181818200,0.5454545454545450,0.7272727272727270,2,0,11,8,,1,0,2620,1090.0658518688700,1049.2046384924000,1,1,3,2,1,0,1,2,0,0,unknown,,,
,,unknown,Beneil Dariush,155,,,"May 06, 1989",0.04,9.24,0.68,0.08,0.68,0,2,25,17,,0,0,3503,1139.447372246680,1062.125358144920,5,4,4,3,6,0,2,0,0,0,Renato Moicano,,,,"May 21, 1989",-0.15789473684210500,7.842105263157900,0.5789473684210530,0.2631578947368420,0.6842105263157900,0,1,19,13,,1,0,3901,1113.39909717259,1058.291405112720,5,0,4,5,1,2,2,0,0,0,unknown,,,
,,unknown,Renato Moicano,155,,,"May 21, 1989",-0.15789473684210500,7.842105263157900,0.5789473684210530,0.2631578947368420,0.6842105263157900,0,1,19,13,,1,0,3901,1113.39909717259,1058.291405112720,5,0,4,5,1,2,2,0,0,0,Beneil Dariush,,,,"May 06, 1989",0.04,9.24,0.68,0.08,0.68,0,2,25,17,,0,0,3503,1139.447372246680,1062.125358144920,5,4,4,3,6,0,2,0,0,0,unknown,,,
,,unknown,Payton Talbott,135,,,"Sep 09, 1998",0.3333333333333330,34.666666666666700,-1.8333333333333300,-0.16666666666666700,0.8333333333333330,0,1,6,5,,0,0,503,1053.8152240789400,989.2351198334820,0,2,0,1,2,1,0,0,0,0,Felipe Lima,,,,"May 07, 1998",0.0,12.666666666666700,0.6666666666666670,1.0,1.0,3,0,3,3,,0,0,593,1051.116337873250,1022.2790359172400,0,0,1,1,0,1,0,0,0,0,unknown,,,
,,unknown,Felipe Lima,135,,,"May 07, 1998",0.0,12.666666666666700,0.6666666666666670,1.0,1.0,3,0,3,3,,0,0,593,1051.116337873250,1022.2790359172400,0,0,1,1,0,1,0,0,0,0,Payton Talbott,,,,"Sep 09, 1998",0.3333333333333330,34.666666666666700,-1.8333333333333300,-0.16666666666666700,0.8333333333333330,0,1,6,5,,0,0,503,1053.8152240789400,989.2351198334820,0,2,0,1,2,1,0,0,0,0,unknown,,,
