id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Dricus Du Plessis,,,,"Jan 14, 1994",0.5,16.2,1.8,0.5,1.0,10,0,10,10,,3,3,2223,1171.2977246286848,1082.9236482371803,3,2,1,1,2,0,1,0,0,0,Khamzat Chimaev,,,,"May 01, 1994",0.2,18.5,1.7,1.1,1.0,10,0,10,10,,0,0,2011,1162.6514133514029,1057.2548200424578,2,1,4,1,0,1,0,0,1,0,unknown,,,
,,unknown,Khamzat Chimaev,,,,"May 01, 1994",0.2,18.5,1.7,1.1,1.0,10,0,10,10,,0,0,2011,1162.6514133514029,1057.2548200424578,2,1,4,1,0,1,0,0,1,0,Dricus Du Plessis,,,,"Jan 14, 1994",0.5,16.2,1.8,0.5,1.0,10,0,10,10,,3,3,2223,1171.2977246286848,1082.9236482371803,3,2,1,1,2,0,1,0,0,0,unknown,,,
,,unknown,Geoff Neal,,,,"Aug 28, 1990",0.6428571428571429,-2.9285714285714284,0.0,0.0,0.7142857142857143,1,0,14,10,,0,0,3353,1096.4412380562255,1061.5382597858718,3,4,0,2,1,2,2,0,0,0,Carlos Prates,,,,"Aug 17, 1993",1.2857142857142858,-9.0,-0.7142857142857143,0.0,0.8571428571428571,0,1,7,6,,0,0,2450,1084.5114034751537,1050.1153159996907,2,4,0,0,1,0,0,0,0,0,unknown,,,
,,unknown,Carlos Prates,,,,"Aug 17, 1993",1.2857142857142858,-9.0,-0.7142857142857143,0.0,0.8571428571428571,0,1,7,6,,0,0,2450,1084.5114034751537,1050.1153159996907,2,4,0,0,1,0,0,0,0,0,Geoff Neal,,,,"Aug 28, 1990",0.6428571428571429,-2.9285714285714284,0.0,0.0,0.7142857142857143,1,0,14,10,,0,0,3353,1096.4412380562255,1061.5382597858718,3,4,0,2,1,2,2,0,0,0,unknown,,,
,,unknown,Jared Cannonier,,,,"Mar 16, 1984",-0.045454545454545456,4.454545454545454,-0.6818181818181818,-0.13636363636363635,0.5909090909090909,1,0,22,13,,1,0,5821,1098.1910699124674,1071.8034979700196,6,7,0,0,6,2,1,0,0,0,Michael Page,,,,"Apr 07, 1987",0.0,7.75,-1.5,-1.0,0.75,1,0,4,3,,0,0,4690,1046.0777286399073,1088.687393735427,0,0,0,0,2,2,0,0,0,0,unknown,,,
,,unknown,Michael Page,,,,"Apr 07, 1987",0.0,7.75,-1.5,-1.0,0.75,1,0,4,3,,0,0,4690,1046.0777286399073,1088.687393735427,0,0,0,0,2,2,0,0,0,0,Jared Cannonier,,,,"Mar 16, 1984",-0.045454545454545456,4.454545454545454,-0.6818181818181818,-0.13636363636363635,0.5909090909090909,1,0,22,13,,1,0,5821,1098.1910699124674,1071.8034979700196,6,7,0,0,6,2,1,0,0,0,unknown,,,
,,unknown,Tim Elliott,,,,"Dec 24, 1986",0.08695652173913043,8.173913043478262,1.6521739130434783,0.13043478260869565,0.43478260869565216,1,0,23,10,,1,0,4374,1009.6825271238401,1035.0365653751176,0,0,4,5,8,6,0,0,0,0,Kai Asakura,,,,"Oct 31, 1993",0.0,-15.0,-3.0,-1.0,0.0,0,2,2,0,,2,0,2235,982.0407744778469,1167.9683335343464,0,0,1,1,0,0,0,0,0,0,unknown,,,
,,unknown,Kai Asakura,,,,"Oct 31, 1993",0.0,-15.0,-3.0,-1.0,0.0,0,2,2,0,,2,0,2235,982.0407744778469,1167.9683335343464,0,0,1,1,0,0,0,0,0,0,Tim Elliott,,,,"Dec 24, 1986",0.08695652173913043,8.173913043478262,1.6521739130434783,0.13043478260869565,0.43478260869565216,1,0,23,10,,1,0,4374,1009.6825271238401,1035.0365653751176,0,0,4,5,8,6,0,0,0,0,unknown,,,
,,unknown,King Green,,,,"Sep 09, 1986",0.0,23.47222222222222,0.16666666666666666,-0.2222222222222222,0.5277777777777778,0,2,36,19,,0,0,4935,1066.2513992221757,1056.1310087260897,3,5,4,5,10,3,3,1,0,0,Diego Ferreira,,,,"Jan 18, 1985",0.0,13.944444444444445,-1.1111111111111112,0.4444444444444444,0.6666666666666666,0,1,18,12,,0,0,5485,1088.6822642564346,1050.100662621834,5,4,2,1,4,1,1,0,0,0,unknown,,,
,,unknown,Diego Ferreira,,,,"Jan 18, 1985",0.0,13.944444444444445,-1.1111111111111112,0.4444444444444444,0.6666666666666666,0,1,18,12,,0,0,5485,1088.6822642564346,1050.100662621834,5,4,2,1,4,1,1,0,0,0,King Green,,,,"Sep 09, 1986",0.0,23.47222222222222,0.16666666666666666,-0.2222222222222222,0.5277777777777778,0,2,36,19,,0,0,4935,1066.2513992221757,1056.1310087260897,3,5,4,5,10,3,3,1,0,0,unknown,,,
,,unknown,Gerald Meerschaert,,,,"Dec 18, 1987",-0.12,-3.0,-0.2,0.44,0.52,0,3,25,13,,0,0,4498,1009.4893649237225,1029.7750860614215,3,2,9,6,1,1,2,1,0,0,Michal Oleksiejczuk,,,,"Feb 22, 1995",0.47058823529411764,5.882352941176471,-0.4117647058823529,-0.4117647058823529,0.47058823529411764,1,0,17,8,,0,0,1882,1025.3965294693269,1033.291366056582,1,6,3,2,2,0,0,1,0,0,unknown,,,
,,unknown,Michal Oleksiejczuk,,,,"Feb 22, 1995",0.47058823529411764,5.882352941176471,-0.4117647058823529,-0.4117647058823529,0.47058823529411764,1,0,17,8,,0,0,1882,1025.3965294693269,1033.291366056582,1,6,3,2,2,0,0,1,0,0,Gerald Meerschaert,,,,"Dec 18, 1987",-0.12,-3.0,-0.2,0.44,0.52,0,3,25,13,,0,0,4498,1009.4893649237225,1029.7750860614215,3,2,9,6,1,1,2,1,0,0,unknown,,,
,,unknown,Jessica Andrade,,,,"Sep 25, 1991",0.0967741935483871,7.0,0.5483870967741935,-0.1935483870967742,0.5806451612903226,0,2,31,18,,4,1,3156,1074.2339999847457,1053.9230626720775,7,4,3,6,6,2,2,1,0,0,Loopy Godinez,,,,"Sep 06, 1993",0.06666666666666667,6.066666666666666,2.4,0.6,0.6,1,0,15,9,,0,0,2402,1051.05012741298,1019.0876396395176,0,0,2,1,4,4,2,2,0,0,unknown,,,
,,unknown,Loopy Godinez,,,,"Sep 06, 1993",0.06666666666666667,6.066666666666666,2.4,0.6,0.6,1,0,15,9,,0,0,2402,1051.05012741298,1019.0876396395176,0,0,2,1,4,4,2,2,0,0,Jessica Andrade,,,,"Sep 25, 1991",0.0967741935483871,7.0,0.5483870967741935,-0.1935483870967742,0.5806451612903226,0,2,31,18,,4,1,3156,1074.2339999847457,1053.9230626720775,7,4,3,6,6,2,2,1,0,0,unknown,,,
,,unknown,Chase Hooper,,,,"Sep 13, 1999",-0.38461538461538464,18.23076923076923,0.9230769230769231,1.2307692307692308,0.7692307692307693,5,0,13,10,,0,0,218,1098.1297224706748,1004.5585253818865,2,1,1,3,3,3,0,0,0,0,Alexander Hernandez,,,,"Oct 01, 1992",0.1875,-2.0625,0.125,-0.1875,0.5625,2,0,16,9,,0,0,2728,1042.426560251187,1052.4705445829982,3,4,0,1,4,2,1,1,0,0,unknown,,,
,,unknown,Alexander Hernandez,,,,"Oct 01, 1992",0.1875,-2.0625,0.125,-0.1875,0.5625,2,0,16,9,,0,0,2728,1042.426560251187,1052.4705445829982,3,4,0,1,4,2,1,1,0,0,Chase Hooper,,,,"Sep 13, 1999",-0.38461538461538464,18.23076923076923,0.9230769230769231,1.2307692307692308,0.7692307692307693,5,0,13,10,,0,0,218,1098.1297224706748,1004.5585253818865,2,1,1,3,3,3,0,0,0,0,unknown,,,
,,unknown,Edson Barboza,,,,"Jan 21, 1986",0.375,-4.6875,-0.46875,-0.1875,0.625,0,1,32,20,,0,0,4872,1095.5604331119105,1069.892432845186,9,6,0,2,6,5,1,2,1,0,Drakkar Klose,,,,"Mar 09, 1988",0.0,11.846153846153847,0.38461538461538464,-0.38461538461538464,0.7692307692307693,0,1,13,10,,0,0,4304,1097.6810100548744,1026.351475720636,3,1,0,0,3,5,0,1,0,0,unknown,,,
,,unknown,Drakkar Klose,,,,"Mar 09, 1988",0.0,11.846153846153847,0.38461538461538464,-0.38461538461538464,0.7692307692307693,0,1,13,10,,0,0,4304,1097.6810100548744,1026.351475720636,3,1,0,0,3,5,0,1,0,0,Edson Barboza,,,,"Jan 21, 1986",0.375,-4.6875,-0.46875,-0.1875,0.625,0,1,32,20,,0,0,4872,1095.5604331119105,1069.892432845186,9,6,0,2,6,5,1,2,1,0,unknown,,,
,,unknown,Bryan Battle,,,,"Sep 21, 1994",0.09090909090909091,12.181818181818182,-1.0,0.09090909090909091,0.8181818181818182,4,0,11,9,,0,0,1910,1110.6113616739372,1009.551328050531,3,0,2,1,1,2,1,0,0,0,Nursulton Ruziboev,,,,"Nov 19, 1993",0.6666666666666666,-1.3333333333333333,-0.3333333333333333,0.0,0.8333333333333334,2,0,6,5,,0,0,2293,1063.0457218707475,1017.4679385173831,2,3,0,0,1,0,0,0,0,0,unknown,,,
,,unknown,Nursulton Ruziboev,,,,"Nov 19, 1993",0.6666666666666666,-1.3333333333333333,-0.3333333333333333,0.0,0.8333333333333334,2,0,6,5,,0,0,2293,1063.0457218707475,1017.4679385173831,2,3,0,0,1,0,0,0,0,0,Bryan Battle,,,,"Sep 21, 1994",0.09090909090909091,12.181818181818182,-1.0,0.09090909090909091,0.8181818181818182,4,0,11,9,,0,0,1910,1110.6113616739372,1009.551328050531,3,0,2,1,1,2,1,0,0,0,unknown,,,
,,unknown,Karine Silva,,,,"Dec 02, 1993",0.125,-2.125,0.375,1.0,0.875,0,1,8,7,,0,0,2182,1082.9310287342091,1005.6496531920911,0,0,2,4,1,1,0,0,0,0,JJ Aldrich,,,,"Sep 29, 1992",0.0,-5.5,-0.3333333333333333,-0.1111111111111111,0.6111111111111112,1,0,18,11,,0,0,2716,1048.7583754802909,1002.4897009394485,1,1,0,1,9,4,1,1,0,0,unknown,,,
