id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Roman Dolidze,,,,"Jul 15, 1988",0.3076923076923077,1.3846153846153846,0.23076923076923078,0.5384615384615384,0.7692307692307693,3,0,13,10,,0,0,4267,1106.5381202233502,1033.104748165856,4,2,0,0,3,2,0,1,0,1,Anthony Hernandez,,,,"Oct 18, 1993",0.07142857142857142,14.714285714285714,3.642857142857143,0.8571428571428571,0.7142857142857143,8,0,14,10,,0,0,2325,1125.9629237151225,1018.6511824223168,2,1,3,3,1,2,0,0,0,0,unknown,,,
,,unknown,Anthony Hernandez,,,,"Oct 18, 1993",0.07142857142857142,14.714285714285714,3.642857142857143,0.8571428571428571,0.7142857142857143,8,0,14,10,,0,0,2325,1125.9629237151225,1018.6511824223168,2,1,3,3,1,2,0,0,0,0,Roman Dolidze,,,,"Jul 15, 1988",0.3076923076923077,1.3846153846153846,0.23076923076923078,0.5384615384615384,0.7692307692307693,3,0,13,10,,0,0,4267,1106.5381202233502,1033.104748165856,4,2,0,0,3,2,0,1,0,1,unknown,,,
,,unknown,Steve Erceg,,,,"Jul 27, 1995",-0.14285714285714285,5.428571428571429,-0.7142857142857143,0.42857142857142855,0.5714285714285714,0,3,7,4,,1,0,1713,1023.1043434260354,1055.3296616089838,1,1,0,0,1,4,0,0,0,0,Ode Osbourne,,,,"Jan 09, 1992",0.14285714285714285,-4.785714285714286,-0.2857142857142857,-0.21428571428571427,0.5,1,0,14,7,,0,0,3015,991.2111013307544,1001.8108380370585,3,2,4,2,1,1,0,1,0,0,unknown,,,
,,unknown,Ode Osbourne,,,,"Jan 09, 1992",0.14285714285714285,-4.785714285714286,-0.2857142857142857,-0.21428571428571427,0.5,1,0,14,7,,0,0,3015,991.2111013307544,1001.8108380370585,3,2,4,2,1,1,0,1,0,0,Steve Erceg,,,,"Jul 27, 1995",-0.14285714285714285,5.428571428571429,-0.7142857142857143,0.42857142857142855,0.5714285714285714,0,3,7,4,,1,0,1713,1023.1043434260354,1055.3296616089838,1,1,0,0,1,4,0,0,0,0,unknown,,,
,,unknown,Iasmin Lucindo,,,,"Jan 08, 2002",0.0,2.0,1.0,0.14285714285714285,0.5714285714285714,0,1,7,4,,0,0,665,1024.156257514688,1022.2271766050465,0,0,1,0,3,2,1,0,0,0,Angela Hill,,,,"Jan 12, 1985",0.06896551724137931,10.310344827586206,-0.41379310344827586,0.034482758620689655,0.5172413793103449,1,0,29,15,,0,0,5519,1033.9093148785714,1013.9359638875931,1,2,1,2,7,11,3,2,0,0,unknown,,,
,,unknown,Angela Hill,,,,"Jan 12, 1985",0.06896551724137931,10.310344827586206,-0.41379310344827586,0.034482758620689655,0.5172413793103449,1,0,29,15,,0,0,5519,1033.9093148785714,1013.9359638875931,1,2,1,2,7,11,3,2,0,0,Iasmin Lucindo,,,,"Jan 08, 2002",0.0,2.0,1.0,0.14285714285714285,0.5714285714285714,0,1,7,4,,0,0,665,1024.156257514688,1022.2271766050465,0,0,1,0,3,2,1,0,0,0,unknown,,,
,,unknown,Andre Fili,,,,"Jun 25, 1990",0.0,-1.7692307692307692,0.5,-0.15384615384615385,0.5,0,1,26,13,,0,0,3536,1017.3417652068285,1022.7421541166311,3,5,1,2,3,6,2,3,0,0,Christian Rodriguez,,,,"Dec 17, 1997",0.0,14.2,-1.3,0.1,0.7,0,1,10,7,,0,0,839,1056.035796906188,1018.4891699771473,0,0,2,0,5,2,0,1,0,0,unknown,,,
,,unknown,Christian Rodriguez,,,,"Dec 17, 1997",0.0,14.2,-1.3,0.1,0.7,0,1,10,7,,0,0,839,1056.035796906188,1018.4891699771473,0,0,2,0,5,2,0,1,0,0,Andre Fili,,,,"Jun 25, 1990",0.0,-1.7692307692307692,0.5,-0.15384615384615385,0.5,0,1,26,13,,0,0,3536,1017.3417652068285,1022.7421541166311,3,5,1,2,3,6,2,3,0,0,unknown,,,
,,unknown,Miles Johns,,,,"Mar 30, 1994",0.23076923076923078,8.076923076923077,0.46153846153846156,-0.3076923076923077,0.6923076923076923,0,1,13,9,,0,0,2092,1067.1412213663073,993.608813243381,2,2,1,0,3,3,1,0,0,0,Jean Matsumoto,,,,"Sep 09, 1999",0.0,-2.2,-1.2,0.0,0.8,0,1,5,4,,0,0,173,1046.2671691092983,1013.7045260878701,0,0,0,1,1,2,1,0,0,0,unknown,,,
,,unknown,Jean Matsumoto,,,,"Sep 09, 1999",0.0,-2.2,-1.2,0.0,0.8,0,1,5,4,,0,0,173,1046.2671691092983,1013.7045260878701,0,0,0,1,1,2,1,0,0,0,Miles Johns,,,,"Mar 30, 1994",0.23076923076923078,8.076923076923077,0.46153846153846156,-0.3076923076923077,0.6923076923076923,0,1,13,9,,0,0,2092,1067.1412213663073,993.608813243381,2,2,1,0,3,3,1,0,0,0,unknown,,,
,,unknown,Eryk Anders,,,,"Apr 21, 1987",0.05,-2.7,0.85,-0.2,0.55,2,0,20,11,,0,0,4620,1048.7797337766779,1035.0542080290618,5,2,0,1,3,4,1,3,0,0,Christian Leroy Duncan,,,,"Jul 24, 1995",0.14285714285714285,16.428571428571427,-0.5714285714285714,0.0,0.7142857142857143,1,0,7,5,,0,0,1709,1045.5455453995287,1010.4045977946438,3,1,0,0,1,2,0,0,0,0,unknown,,,
