id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Max Holloway,155,,,"Dec 04, 1991",0.36363636363636400,38.0,-0.6060606060606060,0.12121212121212100,0.7272727272727270,0,1,33,24,,10,5,2890,1203.4643067271500,1080.735294768560,7,7,2,2,6,6,1,2,0,0,Dustin Poirier,,,,"Jan 19, 1989",0.3055555555555560,9.083333333333330,-0.16666666666666700,0.19444444444444400,0.6944444444444440,0,1,36,25,,4,1,3792,1186.2736136574300,1069.872983735160,4,11,5,4,2,8,0,0,0,1,unknown,,,
,,unknown,Dustin Poirier,155,,,"Jan 19, 1989",0.3055555555555560,9.083333333333330,-0.16666666666666700,0.19444444444444400,0.6944444444444440,0,1,36,25,,4,1,3792,1186.2736136574300,1069.872983735160,4,11,5,4,2,8,0,0,0,1,Max Holloway,,,,"Dec 04, 1991",0.36363636363636400,38.0,-0.6060606060606060,0.12121212121212100,0.7272727272727270,0,1,33,24,,10,5,2890,1203.4643067271500,1080.735294768560,7,7,2,2,6,6,1,2,0,0,unknown,,,
,,unknown,Paulo Costa,185,,,"Apr 21, 1991",0.2727272727272730,-2.3636363636363600,-0.18181818181818200,0.0,0.6363636363636360,0,2,11,7,,1,0,2970,1059.2161240180300,1072.6866426122300,4,2,0,0,2,2,0,1,0,0,Roman Kopylov,,,,"May 04, 1991",0.6,0.5,0.2,-0.5,0.6,2,0,10,6,,0,0,3181,1049.3290191230800,1031.4128630822900,2,3,2,1,1,0,0,1,0,0,unknown,,,
,,unknown,Roman Kopylov,185,,,"May 04, 1991",0.6,0.5,0.2,-0.5,0.6,2,0,10,6,,0,0,3181,1049.3290191230800,1031.4128630822900,2,3,2,1,1,0,0,1,0,0,Paulo Costa,,,,"Apr 21, 1991",0.2727272727272730,-2.3636363636363600,-0.18181818181818200,0.0,0.6363636363636360,0,2,11,7,,1,0,2970,1059.2161240180300,1072.6866426122300,4,2,0,0,2,2,0,1,0,0,unknown,,,
,,unknown,Kevin Holland,170,,,"Nov 05, 1992",0.26666666666666700,13.166666666666700,-1.0666666666666700,-0.26666666666666700,0.6,1,0,30,18,,0,0,2700,1068.619000968640,1045.8865502239400,5,3,7,2,4,5,3,0,0,0,Daniel Rodriguez,,,,"Dec 31, 1986",0.17647058823529400,24.0,-0.35294117647058800,0.0,0.7647058823529410,2,0,17,13,,0,0,4878,1117.8282650295500,1038.759630410720,2,3,1,1,4,4,0,2,0,0,unknown,,,
,,unknown,Daniel Rodriguez,170,,,"Dec 31, 1986",0.17647058823529400,24.0,-0.35294117647058800,0.0,0.7647058823529410,2,0,17,13,,0,0,4878,1117.8282650295500,1038.759630410720,2,3,1,1,4,4,0,2,0,0,Kevin Holland,,,,"Nov 05, 1992",0.26666666666666700,13.166666666666700,-1.0666666666666700,-0.26666666666666700,0.6,1,0,30,18,,0,0,2700,1068.619000968640,1045.8865502239400,5,3,7,2,4,5,3,0,0,0,unknown,,,
,,unknown,Dan Ige,145,,,"Aug 06, 1991",0.3333333333333330,3.0476190476190500,-0.6666666666666670,0.0,0.6190476190476190,1,0,21,13,,0,0,3178,1071.2224557999100,1050.8719897221700,4,1,1,2,4,7,0,2,0,0,Patricio Freire,,,,"Jul 07, 1987",-1.0,-53.0,0.0,1.0,0.0,0,2,2,0,,0,0,4669,978.3722991344440,1122.1219921569400,0,0,0,0,1,1,0,0,0,0,unknown,,,
,,unknown,Patricio Freire,145,,,"Jul 07, 1987",-1.0,-53.0,0.0,1.0,0.0,0,2,2,0,,0,0,4669,978.3722991344440,1122.1219921569400,0,0,0,0,1,1,0,0,0,0,Dan Ige,,,,"Aug 06, 1991",0.3333333333333330,3.0476190476190500,-0.6666666666666670,0.0,0.6190476190476190,1,0,21,13,,0,0,3178,1071.2224557999100,1050.8719897221700,4,1,1,2,4,7,0,2,0,0,unknown,,,
,,unknown,Michael Johnson,155,,,"Jun 04, 1986",0.3125,4.1875,-0.25,-0.34375,0.46875,2,0,32,15,,2,0,4948,1020.1345343841000,1048.4443198557200,6,4,1,4,6,7,1,2,0,1,Daniel Zellhuber,,,,"Jul 07, 1999",0.2857142857142860,5.571428571428570,0.14285714285714300,0.14285714285714300,0.7142857142857140,0,1,7,5,,0,0,76,1038.5277658660200,991.222904077738,0,0,0,1,2,3,1,0,0,0,unknown,,,
,,unknown,Daniel Zellhuber,155,,,"Jul 07, 1999",0.2857142857142860,5.571428571428570,0.14285714285714300,0.14285714285714300,0.7142857142857140,0,1,7,5,,0,0,76,1038.5277658660200,991.222904077738,0,0,0,1,2,3,1,0,0,0,Michael Johnson,,,,"Jun 04, 1986",0.3125,4.1875,-0.25,-0.34375,0.46875,2,0,32,15,,2,0,4948,1020.1345343841000,1048.4443198557200,6,4,1,4,6,7,1,2,0,1,unknown,,,
,,unknown,Kyler Phillips,135,,,"Jun 12, 1995",0.36363636363636400,20.818181818181800,1.1818181818181800,0.18181818181818200,0.8181818181818180,0,1,11,9,,0,0,1597,1092.8899327981500,1013.5830604290300,2,2,1,0,3,2,0,0,1,0,Vinicius Oliveira,,,,"Nov 30, 1995",0.6666666666666670,24.5,-0.16666666666666700,0.16666666666666700,1.0,6,0,6,6,,0,0,1531,1093.3814917373600,1012.6162104997100,2,2,0,0,1,1,0,0,0,0,unknown,,,
,,unknown,Vinicius Oliveira,135,,,"Nov 30, 1995",0.6666666666666670,24.5,-0.16666666666666700,0.16666666666666700,1.0,6,0,6,6,,0,0,1531,1093.3814917373600,1012.6162104997100,2,2,0,0,1,1,0,0,0,0,Kyler Phillips,,,,"Jun 12, 1995",0.36363636363636400,20.818181818181800,1.1818181818181800,0.18181818181818200,0.8181818181818180,0,1,11,9,,0,0,1597,1092.8899327981500,1013.5830604290300,2,2,1,0,3,2,0,0,1,0,unknown,,,
,,unknown,Marvin Vettori,185,,,"Sep 20, 1993",0.058823529411764700,3.235294117647060,0.8823529411764710,0.5294117647058820,0.5882352941176470,0,2,17,10,,1,0,2374,1074.2047310942200,1063.7511551981200,0,0,1,2,4,8,1,0,0,0,Brendan Allen,,,,"Dec 28, 1995",0.16666666666666700,-1.6111111111111100,0.16666666666666700,0.7777777777777780,0.7777777777777780,0,2,18,14,,0,0,1524,1133.086871300300,1049.4345647997400,1,2,8,1,3,2,1,0,0,0,unknown,,,
,,unknown,Brendan Allen,185,,,"Dec 28, 1995",0.16666666666666700,-1.6111111111111100,0.16666666666666700,0.7777777777777780,0.7777777777777780,0,2,18,14,,0,0,1524,1133.086871300300,1049.4345647997400,1,2,8,1,3,2,1,0,0,0,Marvin Vettori,,,,"Sep 20, 1993",0.058823529411764700,3.235294117647060,0.8823529411764710,0.5294117647058820,0.5882352941176470,0,2,17,10,,1,0,2374,1074.2047310942200,1063.7511551981200,0,0,1,2,4,8,1,0,0,0,unknown,,,
,,unknown,Francisco Prado,170,,,"Jun 16, 2002",0.2,-15.4,-1.0,0.4,0.2,0,2,5,1,,0,0,852,963.6013270579440,1041.8143791956900,0,1,0,0,2,2,0,0,0,0,Nikolay Veretennikov,,,,"Dec 22, 1989",0.0,-8.25,-2.5,-0.25,0.0,0,4,4,0,,0,0,3721,944.2346754399660,1036.8206206276700,1,0,0,0,1,1,1,0,0,0,unknown,,,
,,unknown,Nikolay Veretennikov,170,,,"Dec 22, 1989",0.0,-8.25,-2.5,-0.25,0.0,0,4,4,0,,0,0,3721,944.2346754399660,1036.8206206276700,1,0,0,0,1,1,1,0,0,0,Francisco Prado,,,,"Jun 16, 2002",0.2,-15.4,-1.0,0.4,0.2,0,2,5,1,,0,0,852,963.6013270579440,1041.8143791956900,0,1,0,0,2,2,0,0,0,0,unknown,,,
,,unknown,Ateba Gautier,185,,,"Apr 10, 2002",1.0,28.333333333333300,-0.6666666666666670,0.0,1.0,3,0,3,3,,0,0,736,1043.1561175868700,965.661440325525,2,1,0,0,0,0,0,0,0,0,Robert Valentin,,,,"Mar 31, 1995",0.0,-21.0,-3.3333333333333300,0.6666666666666670,0.0,0,3,3,0,,0,0,1838,958.5565308241160,1047.1139785029400,1,1,0,0,0,0,1,0,0,0,unknown,,,
,,unknown,Robert Valentin,185,,,"Mar 31, 1995",0.0,-21.0,-3.3333333333333300,0.6666666666666670,0.0,0,3,3,0,,0,0,1838,958.5565308241160,1047.1139785029400,1,1,0,0,0,0,1,0,0,0,Ateba Gautier,,,,"Apr 10, 2002",1.0,28.333333333333300,-0.6666666666666670,0.0,1.0,3,0,3,3,,0,0,736,1043.1561175868700,965.661440325525,2,1,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Adam Fugitt,170,,,"Jan 12, 1989",-1.0,-2.0,0.8,-0.2,0.4,1,0,5,2,,0,0,3813,995.494000800083,1037.6422379248100,2,1,0,1,0,0,1,0,0,0,Islam Dulatov,,,,"Aug 02, 1998",1.0,24.0,1.0,0.0,1.0,2,0,2,2,,0,0,439,1030.5304984710200,976.7347507644880,1,1,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Islam Dulatov,170,,,"Aug 02, 1998",1.0,24.0,1.0,0.0,1.0,2,0,2,2,,0,0,439,1030.5304984710200,976.7347507644880,1,1,0,0,0,0,0,0,0,0,Adam Fugitt,,,,"Jan 12, 1989",-1.0,-2.0,0.8,-0.2,0.4,1,0,5,2,,0,0,3813,995.494000800083,1037.6422379248100,2,1,0,1,0,0,1,0,0,0,unknown,,,
,,unknown,Jimmy Crute,205,,,"Mar 04, 1996",0.08333333333333330,6.583333333333330,1.1666666666666700,0.5,0.5,0,3,12,6,,0,0,1443,1032.5617468041500,1042.4618826018400,1,5,2,2,0,0,0,0,0,0,Marcin Prachnio,,,,"Jul 14, 1988",-0.45454545454545500,22.181818181818200,-1.0909090909090900,-0.2727272727272730,0.36363636363636400,0,1,11,4,,0,0,4037,970.0051200541310,1010.6236116524400,3,2,2,0,2,2,0,0,0,0,unknown,,,
,,unknown,Marcin Prachnio,205,,,"Jul 14, 1988",-0.45454545454545500,22.181818181818200,-1.0909090909090900,-0.2727272727272730,0.36363636363636400,0,1,11,4,,0,0,4037,970.0051200541310,1010.6236116524400,3,2,2,0,2,2,0,0,0,0,Jimmy Crute,,,,"Mar 04, 1996",0.08333333333333330,6.583333333333330,1.1666666666666700,0.5,0.5,0,3,12,6,,0,0,1443,1032.5617468041500,1042.4618826018400,1,5,2,2,0,0,0,0,0,0,unknown,,,
,,unknown,Ryan Spann,265,,,"Aug 24, 1991",0.05555555555555560,-5.333333333333330,-0.2777777777777780,0.3333333333333330,0.5555555555555560,0,1,18,10,,0,0,3132,1036.3610656204700,1040.1127329284800,3,5,3,4,0,1,1,1,0,0,Lukasz Brzeski,,,,"May 17, 1992",-0.4444444444444440,17.333333333333300,-1.3333333333333300,0.2222222222222220,0.4444444444444440,0,2,9,4,,0,0,2767,991.2364738091290,1026.5421135316100,0,3,1,1,1,2,0,1,0,0,unknown,,,
,,unknown,Lukasz Brzeski,265,,,"May 17, 1992",-0.4444444444444440,17.333333333333300,-1.3333333333333300,0.2222222222222220,0.4444444444444440,0,2,9,4,,0,0,2767,991.2364738091290,1026.5421135316100,0,3,1,1,1,2,0,1,0,0,Ryan Spann,,,,"Aug 24, 1991",0.05555555555555560,-5.333333333333330,-0.2777777777777780,0.3333333333333330,0.5555555555555560,0,1,18,10,,0,0,3132,1036.3610656204700,1040.1127329284800,3,5,3,4,0,1,1,1,0,0,unknown,,,
,,unknown,Carli Judice,125,,,"Mar 02, 1999",0.25,5.25,-0.5,0.0,0.25,1,0,4,1,,0,0,385,972.3895363775400,1007.6553130074400,0,1,0,0,0,0,2,1,0,0,Nicolle Caliari,,,,"Nov 04, 1996",0.0,-13.333333333333300,1.6666666666666700,1.3333333333333300,0.6666666666666670,0,1,3,2,,0,0,1170,1013.7941916775000,994.9121022645070,0,0,1,1,0,0,0,1,0,0,unknown,,,
,,unknown,Nicolle Caliari,125,,,"Nov 04, 1996",0.0,-13.333333333333300,1.6666666666666700,1.3333333333333300,0.6666666666666670,0,1,3,2,,0,0,1170,1013.7941916775000,994.9121022645070,0,0,1,1,0,0,0,1,0,0,Carli Judice,,,,"Mar 02, 1999",0.25,5.25,-0.5,0.0,0.25,1,0,4,1,,0,0,385,972.3895363775400,1007.6553130074400,0,1,0,0,0,0,2,1,0,0,unknown,,,
