id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Jamahal Hill,205,,,"May 19, 1991",0.08333333333333330,29.666666666666700,-1.1666666666666700,-0.25,0.6666666666666670,0,2,12,8,,2,1,3173,1078.937046275420,1047.7807169002300,5,4,0,0,2,0,0,0,0,0,Khalil Rountree Jr.,,,,"Feb 26, 1990",0.631578947368421,-7.7894736842105300,-1.263157894736840,0.0,0.47368421052631600,0,1,19,9,,3,0,3515,1046.3581737948000,1021.619890516170,4,6,1,1,2,2,0,1,0,0,unknown,,,
,,unknown,Khalil Rountree Jr.,205,,,"Feb 26, 1990",0.631578947368421,-7.7894736842105300,-1.263157894736840,0.0,0.47368421052631600,0,1,19,9,,3,0,3515,1046.3581737948000,1021.619890516170,4,6,1,1,2,2,0,1,0,0,Jamahal Hill,,,,"May 19, 1991",0.08333333333333330,29.666666666666700,-1.1666666666666700,-0.25,0.6666666666666670,0,2,12,8,,2,1,3173,1078.937046275420,1047.7807169002300,5,4,0,0,2,0,0,0,0,0,unknown,,,
,,unknown,Rafael Fiziev,155,,,"Mar 05, 1993",-0.09090909090909090,-1.9090909090909100,-0.09090909090909090,0.0,0.5454545454545450,0,3,11,6,,0,0,2566,1036.823080614620,1064.2192279230500,3,3,0,0,2,2,0,0,0,1,Ignacio Bahamondes,,,,"Aug 27, 1997",0.6,28.9,-0.4,0.3,0.8,3,0,10,8,,0,0,930,1090.6008435337500,1017.5616671113900,4,1,2,0,1,1,0,1,0,0,unknown,,,
,,unknown,Ignacio Bahamondes,155,,,"Aug 27, 1997",0.6,28.9,-0.4,0.3,0.8,3,0,10,8,,0,0,930,1090.6008435337500,1017.5616671113900,4,1,2,0,1,1,0,1,0,0,Rafael Fiziev,,,,"Mar 05, 1993",-0.09090909090909090,-1.9090909090909100,-0.09090909090909090,0.0,0.5454545454545450,0,3,11,6,,0,0,2566,1036.823080614620,1064.2192279230500,3,3,0,0,2,2,0,0,0,1,unknown,,,
,,unknown,Curtis Blaydes,265,,,"Feb 18, 1991",-0.15,12.75,2.55,-0.1,0.65,0,1,20,13,,1,0,3088,1129.5545105533800,1079.0397558128300,7,7,0,0,5,0,0,0,0,0,Rizvan Kuniev,,,,"Mar 10, 1992",0.5,36.5,1.5,0.0,1.0,4,0,4,4,,0,0,2726,1058.4044290913700,977.74948613926,2,2,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Rizvan Kuniev,265,,,"Mar 10, 1992",0.5,36.5,1.5,0.0,1.0,4,0,4,4,,0,0,2726,1058.4044290913700,977.74948613926,2,2,0,0,0,0,0,0,0,0,Curtis Blaydes,,,,"Feb 18, 1991",-0.15,12.75,2.55,-0.1,0.65,0,1,20,13,,1,0,3088,1129.5545105533800,1079.0397558128300,7,7,0,0,5,0,0,0,0,0,unknown,,,
,,unknown,Nazim Sadykhov,155,,,"May 16, 1994",0.3333333333333330,-4.166666666666670,-0.3333333333333330,0.16666666666666700,0.8333333333333330,5,0,6,5,,0,0,2108,1071.412343392010,990.702182760319,1,3,0,1,0,0,0,0,0,0,Nikolas Motta,,,,"Feb 08, 1993",0.25,-7.625,-0.375,-0.125,0.625,2,0,8,5,,0,0,2486,1044.396547536250,1001.9984471928800,3,1,0,0,1,2,0,0,0,0,unknown,,,
,,unknown,Nikolas Motta,155,,,"Feb 08, 1993",0.25,-7.625,-0.375,-0.125,0.625,2,0,8,5,,0,0,2486,1044.396547536250,1001.9984471928800,3,1,0,0,1,2,0,0,0,0,Nazim Sadykhov,,,,"May 16, 1994",0.3333333333333330,-4.166666666666670,-0.3333333333333330,0.16666666666666700,0.8333333333333330,5,0,6,5,,0,0,2108,1071.412343392010,990.702182760319,1,3,0,1,0,0,0,0,0,0,unknown,,,
,,unknown,Muhammad Naimov,145,,,"Aug 07, 1994",0.125,-12.125,-0.5,-0.25,0.5,1,0,8,4,,0,0,2011,1007.027674280050,1015.4180854058100,1,1,1,1,3,1,0,0,0,0,Bogdan Grad,,,,"Sep 28, 1995",-0.8,-23.2,1.8,0.0,0.6,3,0,5,3,,0,0,1594,1017.3410448997600,990.9793405923090,1,2,0,0,0,0,1,1,0,0,unknown,,,
,,unknown,Bogdan Grad,145,,,"Sep 28, 1995",-0.8,-23.2,1.8,0.0,0.6,3,0,5,3,,0,0,1594,1017.3410448997600,990.9793405923090,1,2,0,0,0,0,1,1,0,0,Muhammad Naimov,,,,"Aug 07, 1994",0.125,-12.125,-0.5,-0.25,0.5,1,0,8,4,,0,0,2011,1007.027674280050,1015.4180854058100,1,1,1,1,3,1,0,0,0,0,unknown,,,
,,unknown,Seokhyeon Ko,170,,,"Sep 24, 1993",0.0,4.0,1.0,0.0,1.0,2,0,2,2,,0,0,2177,1030.5304984710200,976.7347507644880,0,0,0,0,1,1,0,0,0,0,Oban Elliott,,,,"Dec 19, 1997",0.0,25.6,1.8,-0.8,1.0,5,0,5,5,,0,0,704,1071.7758439234700,979.5005926044250,1,0,0,0,2,0,0,0,1,1,unknown,,,
,,unknown,Oban Elliott,170,,,"Dec 19, 1997",0.0,25.6,1.8,-0.8,1.0,5,0,5,5,,0,0,704,1071.7758439234700,979.5005926044250,1,0,0,0,2,0,0,0,1,1,Seokhyeon Ko,,,,"Sep 24, 1993",0.0,4.0,1.0,0.0,1.0,2,0,2,2,,0,0,2177,1030.5304984710200,976.7347507644880,0,0,0,0,1,1,0,0,0,0,unknown,,,
,,unknown,Ismail Naurdiev,185,,,"Aug 18, 1996",0.0,31.666666666666700,-0.6666666666666670,0.16666666666666700,0.6666666666666670,1,0,6,4,,0,0,1171,1039.4232623737300,1047.5193437815400,0,0,0,0,3,3,0,0,0,0,JunYong Park,,,,"Feb 27, 1991",0.08333333333333330,16.416666666666700,-1.1666666666666700,0.5,0.6666666666666670,1,0,12,8,,0,0,3156,1065.5349681509600,1009.8879583976300,0,1,2,3,1,1,2,1,0,1,unknown,,,
,,unknown,JunYong Park,185,,,"Feb 27, 1991",0.08333333333333330,16.416666666666700,-1.1666666666666700,0.5,0.6666666666666670,1,0,12,8,,0,0,3156,1065.5349681509600,1009.8879583976300,0,1,2,3,1,1,2,1,0,1,Ismail Naurdiev,,,,"Aug 18, 1996",0.0,31.666666666666700,-0.6666666666666670,0.16666666666666700,0.6666666666666670,1,0,6,4,,0,0,1171,1039.4232623737300,1047.5193437815400,0,0,0,0,3,3,0,0,0,0,unknown,,,
,,unknown,Daria Zhelezniakova,135,,,"Jan 23, 1996",0.0,20.666666666666700,-2.3333333333333300,-0.3333333333333330,0.6666666666666670,0,1,3,2,,0,0,1351,1016.6073510882600,1015.8618146976200,0,0,1,0,1,1,0,0,0,0,Melissa Mullins,,,,"Jul 23, 1991",-0.6,7.0,0.6,0.0,0.8,2,0,5,4,,0,0,3038,1046.4202410040900,1003.9914791612300,2,1,0,0,1,1,0,0,0,0,unknown,,,
,,unknown,Melissa Mullins,135,,,"Jul 23, 1991",-0.6,7.0,0.6,0.0,0.8,2,0,5,4,,0,0,3038,1046.4202410040900,1003.9914791612300,2,1,0,0,1,1,0,0,0,0,Daria Zhelezniakova,,,,"Jan 23, 1996",0.0,20.666666666666700,-2.3333333333333300,-0.3333333333333330,0.6666666666666670,0,1,3,2,,0,0,1351,1016.6073510882600,1015.8618146976200,0,0,1,0,1,1,0,0,0,0,unknown,,,
,,unknown,Irina Alekseeva,135,,,"Jun 27, 1990",0.5,2.5,0.5,0.5,0.5,0,2,4,2,,0,0,3037,999.2113280534750,1012.0960220871700,0,0,1,1,1,1,0,0,0,0,Klaudia Sygula,,,,"Dec 30, 1998",0.0,-26.0,-2.0,0.0,0.0,0,2,2,0,,0,0,321,970.9888512623780,1039.5141426212000,1,1,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Klaudia Sygula,135,,,"Dec 30, 1998",0.0,-26.0,-2.0,0.0,0.0,0,2,2,0,,0,0,321,970.9888512623780,1039.5141426212000,1,1,0,0,0,0,0,0,0,0,Irina Alekseeva,,,,"Jun 27, 1990",0.5,2.5,0.5,0.5,0.5,0,2,4,2,,0,0,3037,999.2113280534750,1012.0960220871700,0,0,1,1,1,1,0,0,0,0,unknown,,,
,,unknown,Tagir Ulanbekov,125,,,"Aug 07, 1991",0.0,-0.8571428571428570,1.4285714285714300,0.8571428571428570,0.8571428571428570,3,0,7,6,,0,0,3093,1071.6136941579700,991.9473601025970,0,0,0,2,2,2,0,1,0,0,Azat Maksum,,,,"Feb 02, 1995",0.3333333333333330,-36.0,1.3333333333333300,-0.6666666666666670,0.6666666666666670,0,1,3,2,,0,0,1468,1011.2706463885800,977.1164854531020,0,0,0,0,1,0,1,1,0,0,unknown,,,
,,unknown,Azat Maksum,125,,,"Feb 02, 1995",0.3333333333333330,-36.0,1.3333333333333300,-0.6666666666666670,0.6666666666666670,0,1,3,2,,0,0,1468,1011.2706463885800,977.1164854531020,0,0,0,0,1,0,1,1,0,0,Tagir Ulanbekov,,,,"Aug 07, 1991",0.0,-0.8571428571428570,1.4285714285714300,0.8571428571428570,0.8571428571428570,3,0,7,6,,0,0,3093,1071.6136941579700,991.9473601025970,0,0,0,2,2,2,0,1,0,0,unknown,,,
,,unknown,Hamdy Abdelwahab,265,,,"Jan 22, 1993",0.6666666666666670,-1.0,2.3333333333333300,0.0,0.3333333333333330,1,0,3,1,,0,0,2573,1022.0126920204400,1038.0162401624600,0,0,0,0,0,0,1,0,0,0,Mohammed Usman,,,,"Apr 01, 1989",0.2857142857142860,-14.285714285714300,0.42857142857142900,-0.2857142857142860,0.7142857142857140,0,2,7,5,,0,0,3769,1035.6083275734700,994.8742066124310,1,1,0,0,3,2,0,0,0,0,unknown,,,
,,unknown,Mohammed Usman,265,,,"Apr 01, 1989",0.2857142857142860,-14.285714285714300,0.42857142857142900,-0.2857142857142860,0.7142857142857140,0,2,7,5,,0,0,3769,1035.6083275734700,994.8742066124310,1,1,0,0,3,2,0,0,0,0,Hamdy Abdelwahab,,,,"Jan 22, 1993",0.6666666666666670,-1.0,2.3333333333333300,0.0,0.3333333333333330,1,0,3,1,,0,0,2573,1022.0126920204400,1038.0162401624600,0,0,0,0,0,0,1,0,0,0,unknown,,,
