id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Derrick Lewis,265,,,"Feb 07, 1985",0.1935483870967740,0.967741935483871,-1.1935483870967700,-0.3870967741935480,0.6774193548387100,1,0,31,21,,2,0,5213,1120.5311054119700,1057.73178794189,13,11,1,1,2,1,1,1,0,0,Tallison Teixeira,,,,"Dec 07, 1999",1.0,9.333333333333330,0.0,0.0,1.0,3,0,3,3,,0,0,70,1044.9382321258300,978.3006060915590,1,2,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Tallison Teixeira,265,,,"Dec 07, 1999",1.0,9.333333333333330,0.0,0.0,1.0,3,0,3,3,,0,0,70,1044.9382321258300,978.3006060915590,1,2,0,0,0,0,0,0,0,0,Derrick Lewis,,,,"Feb 07, 1985",0.1935483870967740,0.967741935483871,-1.1935483870967700,-0.3870967741935480,0.6774193548387100,1,0,31,21,,2,0,5213,1120.5311054119700,1057.73178794189,13,11,1,1,2,1,1,1,0,0,unknown,,,
,,unknown,Stephen Thompson,170,,,"Feb 11, 1983",0.22727272727272700,15.727272727272700,-0.8636363636363640,-0.2727272727272730,0.5909090909090910,0,2,22,13,,2,0,6087,1086.4960740500000,1091.0184043397500,4,5,1,0,3,7,0,0,0,1,Gabriel Bonfim,,,,"Aug 20, 1997",-0.14285714285714300,9.142857142857140,1.0,0.7142857142857140,0.8571428571428570,2,0,7,6,,0,0,916,1078.6029365012100,1022.2665902259000,0,1,4,1,1,0,0,0,0,0,unknown,,,
,,unknown,Gabriel Bonfim,170,,,"Aug 20, 1997",-0.14285714285714300,9.142857142857140,1.0,0.7142857142857140,0.8571428571428570,2,0,7,6,,0,0,916,1078.6029365012100,1022.2665902259000,0,1,4,1,1,0,0,0,0,0,Stephen Thompson,,,,"Feb 11, 1983",0.22727272727272700,15.727272727272700,-0.8636363636363640,-0.2727272727272730,0.5909090909090910,0,2,22,13,,2,0,6087,1086.4960740500000,1091.0184043397500,4,5,1,0,3,7,0,0,0,1,unknown,,,
,,unknown,Calvin Kattar,145,,,"Mar 26, 1988",0.375,-25.6875,-0.25,0.0625,0.5625,0,4,16,9,,0,0,4350,1045.1213615814400,1076.3280991569800,4,2,0,0,2,7,1,0,0,0,Steve Garcia,,,,"May 22, 1992",0.3,15.3,0.1,0.1,0.8,5,0,10,8,,0,0,2671,1084.349445464920,996.789837581419,5,4,0,0,0,1,0,0,0,0,unknown,,,
,,unknown,Steve Garcia,145,,,"May 22, 1992",0.3,15.3,0.1,0.1,0.8,5,0,10,8,,0,0,2671,1084.349445464920,996.789837581419,5,4,0,0,0,1,0,0,0,0,Calvin Kattar,,,,"Mar 26, 1988",0.375,-25.6875,-0.25,0.0625,0.5625,0,4,16,9,,0,0,4350,1045.1213615814400,1076.3280991569800,4,2,0,0,2,7,1,0,0,0,unknown,,,
,,unknown,Nate Landwehr,145,,,"Jun 06, 1988",-0.4,-1.9,-0.3,0.3,0.5,0,1,10,5,,0,0,4208,1014.0293440119500,1030.537374664720,3,2,1,1,1,1,0,0,1,0,Morgan Charriere,,,,"Oct 26, 1995",0.4,-2.0,0.6,0.0,0.6,0,1,5,3,,0,0,1615,1016.2991321917700,1016.4862962119400,2,1,0,0,0,1,0,1,0,0,unknown,,,
,,unknown,Morgan Charriere,145,,,"Oct 26, 1995",0.4,-2.0,0.6,0.0,0.6,0,1,5,3,,0,0,1615,1016.2991321917700,1016.4862962119400,2,1,0,0,0,1,0,1,0,0,Nate Landwehr,,,,"Jun 06, 1988",-0.4,-1.9,-0.3,0.3,0.5,0,1,10,5,,0,0,4208,1014.0293440119500,1030.537374664720,3,2,1,1,1,1,0,0,1,0,unknown,,,
,,unknown,Vitor Petrino,265,,,"Aug 28, 1997",0.0,4.125,1.125,0.0,0.75,0,2,8,6,,0,0,845,1053.164476772690,1011.5806608721400,2,2,1,1,1,1,0,0,0,0,Austen Lane,,,,"Nov 09, 1987",-0.4444444444444440,3.6666666666666700,0.2222222222222220,0.0,0.3333333333333330,0,1,9,3,,0,0,4502,975.6988719928900,1009.4342585928000,3,4,0,0,0,1,0,0,0,0,unknown,,,
,,unknown,Austen Lane,265,,,"Nov 09, 1987",-0.4444444444444440,3.6666666666666700,0.2222222222222220,0.0,0.3333333333333330,0,1,9,3,,0,0,4502,975.6988719928900,1009.4342585928000,3,4,0,0,0,1,0,0,0,0,Vitor Petrino,,,,"Aug 28, 1997",0.0,4.125,1.125,0.0,0.75,0,2,8,6,,0,0,845,1053.164476772690,1011.5806608721400,2,2,1,1,1,1,0,0,0,0,unknown,,,
,,unknown,Junior Tafa,205,,,"Sep 21, 1996",0.0,7.285714285714290,-1.2857142857142900,-0.14285714285714300,0.42857142857142900,2,0,7,3,,0,0,1123,994.549811410407,1014.2744579439300,2,2,0,1,1,1,0,0,0,0,Tuco Tokkos,,,,"Jun 30, 1990",-0.4,-13.2,0.2,-0.4,0.0,0,5,5,0,,0,0,3461,929.6040070141700,1026.3048235616900,1,1,1,1,1,0,0,0,0,0,unknown,,,
,,unknown,Tuco Tokkos,205,,,"Jun 30, 1990",-0.4,-13.2,0.2,-0.4,0.0,0,5,5,0,,0,0,3461,929.6040070141700,1026.3048235616900,1,1,1,1,1,0,0,0,0,0,Junior Tafa,,,,"Sep 21, 1996",0.0,7.285714285714290,-1.2857142857142900,-0.14285714285714300,0.42857142857142900,2,0,7,3,,0,0,1123,994.549811410407,1014.2744579439300,2,2,0,1,1,1,0,0,0,0,unknown,,,
,,unknown,Max Griffin,170,,,"Nov 29, 1985",0.35,0.9,0.15,0.35,0.5,0,1,20,10,,0,0,5128,1043.492651533980,1051.9415570531800,4,2,1,0,1,5,3,2,1,1,Chris Curtis,,,,"Jul 15, 1987",0.3333333333333330,-1.25,-0.8333333333333330,-0.16666666666666700,0.5833333333333330,0,2,12,7,,0,0,4570,1046.7344275829100,1048.3983229465600,2,4,0,0,1,2,1,1,0,0,unknown,,,
