id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Merab Dvalishvili,135,,,"Jan 10, 1991",0.0,30.125,6.8125,0.3125,0.8125,13,0,16,13,,2,2,3302,1174.6420751958400,1054.269445098970,1,0,0,1,8,4,1,1,0,0,Sean O'Malley,,,,"Oct 24, 1994",0.6875,41.25,-1.0,0.1875,0.8125,0,1,16,13,,3,2,1793,1151.683085395390,1042.0847102840800,6,4,0,0,4,0,1,0,0,0,unknown,,,
,,unknown,Sean O'Malley,135,,,"Oct 24, 1994",0.6875,41.25,-1.0,0.1875,0.8125,0,1,16,13,,3,2,1793,1151.683085395390,1042.0847102840800,6,4,0,0,4,0,1,0,0,0,Merab Dvalishvili,,,,"Jan 10, 1991",0.0,30.125,6.8125,0.3125,0.8125,13,0,16,13,,2,2,3302,1174.6420751958400,1054.269445098970,1,0,0,1,8,4,1,1,0,0,unknown,,,
,,unknown,Kayla Harrison,135,,,"Jul 02, 1990",0.0,43.0,2.0,0.6666666666666670,1.0,3,0,3,3,,0,0,3389,1055.3548644716700,1054.1548579417000,0,0,1,1,1,0,0,0,0,0,Julianna Pena,,,,"Aug 19, 1989",-0.3333333333333330,11.333333333333300,0.0,0.25,0.75,1,0,12,9,,5,4,3706,1102.3032716198600,1059.329609241840,1,2,1,3,2,2,1,0,0,0,unknown,,,
,,unknown,Julianna Pena,135,,,"Aug 19, 1989",-0.3333333333333330,11.333333333333300,0.0,0.25,0.75,1,0,12,9,,5,4,3706,1102.3032716198600,1059.329609241840,1,2,1,3,2,2,1,0,0,0,Kayla Harrison,,,,"Jul 02, 1990",0.0,43.0,2.0,0.6666666666666670,1.0,3,0,3,3,,0,0,3389,1055.3548644716700,1054.1548579417000,0,0,1,1,1,0,0,0,0,0,unknown,,,
,,unknown,Joe Pyfer,185,,,"Sep 17, 1996",0.4444444444444440,2.5555555555555600,0.4444444444444440,0.1111111111111110,0.6666666666666670,1,0,9,6,,0,0,1022,1048.4357012172400,1004.0211045622400,2,5,1,0,1,0,0,0,0,0,Kelvin Gastelum,,,,"Oct 24, 1991",0.125,2.8333333333333300,-0.4166666666666670,-0.375,0.5833333333333330,1,0,24,14,,3,2,2805,1093.9942741291500,1096.4875429482000,2,1,2,3,6,2,3,4,0,0,unknown,,,
,,unknown,Kelvin Gastelum,185,,,"Oct 24, 1991",0.125,2.8333333333333300,-0.4166666666666670,-0.375,0.5833333333333330,1,0,24,14,,3,2,2805,1093.9942741291500,1096.4875429482000,2,1,2,3,6,2,3,4,0,0,Joe Pyfer,,,,"Sep 17, 1996",0.4444444444444440,2.5555555555555600,0.4444444444444440,0.1111111111111110,0.6666666666666670,1,0,9,6,,0,0,1022,1048.4357012172400,1004.0211045622400,2,5,1,0,1,0,0,0,0,0,unknown,,,
,,unknown,Kevin Holland,170,,,"Nov 05, 1992",0.26666666666666700,13.166666666666700,-1.0666666666666700,-0.26666666666666700,0.6,1,0,30,18,,0,0,2700,1068.619000968640,1045.8865502239400,5,3,7,2,4,5,3,0,0,0,Vicente Luque,,,,"Nov 27, 1991",0.2916666666666670,-0.875,-0.6666666666666670,0.3333333333333330,0.7083333333333330,1,0,24,17,,0,0,2939,1137.8685571678200,1049.3471331739900,6,5,2,4,2,4,1,0,0,0,unknown,,,
,,unknown,Vicente Luque,170,,,"Nov 27, 1991",0.2916666666666670,-0.875,-0.6666666666666670,0.3333333333333330,0.7083333333333330,1,0,24,17,,0,0,2939,1137.8685571678200,1049.3471331739900,6,5,2,4,2,4,1,0,0,0,Kevin Holland,,,,"Nov 05, 1992",0.26666666666666700,13.166666666666700,-1.0666666666666700,-0.26666666666666700,0.6,1,0,30,18,,0,0,2700,1068.619000968640,1045.8865502239400,5,3,7,2,4,5,3,0,0,0,unknown,,,
,,unknown,Joshua Van,125,,,"Oct 10, 2001",0.1111111111111110,35.666666666666700,-0.4444444444444440,-0.1111111111111110,0.8888888888888890,3,0,9,8,,0,0,575,1092.0173517351000,983.9906946023740,2,1,0,0,0,4,1,1,0,0,Bruno Silva,,,,"Jul 13, 1989",0.043478260869565200,-11.91304347826090,0.17391304347826100,-0.30434782608695700,0.34782608695652200,0,3,23,8,,0,0,3960,951.7460845941140,1023.476779289720,5,4,2,1,5,4,0,0,0,0,unknown,,,
,,unknown,Bruno Silva,125,,,"Jul 13, 1989",0.043478260869565200,-11.91304347826090,0.17391304347826100,-0.30434782608695700,0.34782608695652200,0,3,23,8,,0,0,3960,951.7460845941140,1023.476779289720,5,4,2,1,5,4,0,0,0,0,Joshua Van,,,,"Oct 10, 2001",0.1111111111111110,35.666666666666700,-0.4444444444444440,-0.1111111111111110,0.8888888888888890,3,0,9,8,,0,0,575,1092.0173517351000,983.9906946023740,2,1,0,0,0,4,1,1,0,0,unknown,,,
,,unknown,Azamat Murzakanov,205,,,"Apr 12, 1989",1.0,15.5,0.16666666666666700,0.0,1.0,6,0,6,6,,0,0,3772,1094.8480375817900,1018.7633606981900,2,3,0,0,0,1,0,0,0,0,Brendson Ribeiro,,,,"Sep 08, 1996",0.3333333333333330,-0.6666666666666670,-0.6666666666666670,0.3333333333333330,0.6666666666666670,2,0,6,4,,0,0,1290,1031.981202145260,1007.1914382126900,1,2,0,1,0,0,0,1,1,0,unknown,,,
