id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Robert Whittaker,,,,"Dec 20, 1990",0.16666666666666666,15.291666666666666,0.041666666666666664,-0.08333333333333333,0.75,0,1,24,18,,5,3,3239,1168.8726053169635,1079.2220180297782,3,6,1,0,2,10,1,1,0,0,Reinier de Ridder,,,,"Sep 07, 1990",0.75,7.75,2.75,0.75,1.0,4,0,4,4,,0,0,3532,1072.2227220449167,1053.860610733827,1,0,2,1,0,0,0,0,0,0,unknown,,,
,,unknown,Reinier de Ridder,,,,"Sep 07, 1990",0.75,7.75,2.75,0.75,1.0,4,0,4,4,,0,0,3532,1072.2227220449167,1053.860610733827,1,0,2,1,0,0,0,0,0,0,Robert Whittaker,,,,"Dec 20, 1990",0.16666666666666666,15.291666666666666,0.041666666666666664,-0.08333333333333333,0.75,0,1,24,18,,5,3,3239,1168.8726053169635,1079.2220180297782,3,6,1,0,2,10,1,1,0,0,unknown,,,
,,unknown,Petr Yan,,,,"Feb 11, 1993",0.6875,18.3125,0.25,0.125,0.75,2,0,16,12,,4,2,2483,1128.9288941795437,1079.2140621656706,1,4,0,0,2,6,2,0,0,0,Marcus McGhee,,,,"May 07, 1990",0.8,23.6,0.2,0.4,1.0,5,0,5,5,,0,0,3487,1072.9776497538446,981.6343516844603,0,2,1,1,0,1,0,0,0,0,unknown,,,
,,unknown,Marcus McGhee,,,,"May 07, 1990",0.8,23.6,0.2,0.4,1.0,5,0,5,5,,0,0,3487,1072.9776497538446,981.6343516844603,0,2,1,1,0,1,0,0,0,0,Petr Yan,,,,"Feb 11, 1993",0.6875,18.3125,0.25,0.125,0.75,2,0,16,12,,4,2,2483,1128.9288941795437,1079.2140621656706,1,4,0,0,2,6,2,0,0,0,unknown,,,
,,unknown,Shara Magomedov,,,,"May 16, 1994",0.3333333333333333,27.5,-1.5,0.0,0.8333333333333334,0,1,6,5,,0,0,2094,1058.7224453272925,1010.1959948041232,2,0,0,0,2,2,0,0,0,0,Marc-Andre Barriault,,,,"Feb 18, 1990",0.0625,3.9375,-1.3125,-0.125,0.375,1,0,16,6,,0,0,3740,983.386440397213,1022.1666901062492,2,4,1,1,2,3,0,2,0,0,unknown,,,
,,unknown,Marc-Andre Barriault,,,,"Feb 18, 1990",0.0625,3.9375,-1.3125,-0.125,0.375,1,0,16,6,,0,0,3740,983.386440397213,1022.1666901062492,2,4,1,1,2,3,0,2,0,0,Shara Magomedov,,,,"May 16, 1994",0.3333333333333333,27.5,-1.5,0.0,0.8333333333333334,0,1,6,5,,0,0,2094,1058.7224453272925,1010.1959948041232,2,0,0,0,2,2,0,0,0,0,unknown,,,
,,unknown,Asu Almabayev,,,,"Jan 25, 1994",0.16666666666666666,9.833333333333334,3.1666666666666665,1.0,0.8333333333333334,0,1,6,5,,0,0,2233,1062.5139625722145,1025.115660629128,0,1,1,1,3,0,0,0,0,0,Ramazan Temirov,,,,"Jan 31, 1997",2.0,9.0,0.3333333333333333,0.0,1.0,3,0,3,3,,0,0,1131,1048.6639982334127,1005.1883798031273,1,1,0,0,0,1,0,0,0,0,unknown,,,
,,unknown,Ramazan Temirov,,,,"Jan 31, 1997",2.0,9.0,0.3333333333333333,0.0,1.0,3,0,3,3,,0,0,1131,1048.6639982334127,1005.1883798031273,1,1,0,0,0,1,0,0,0,0,Asu Almabayev,,,,"Jan 25, 1994",0.16666666666666666,9.833333333333334,3.1666666666666665,1.0,0.8333333333333334,0,1,6,5,,0,0,2233,1062.5139625722145,1025.115660629128,0,1,1,1,3,0,0,0,0,0,unknown,,,
,,unknown,Nikita Krylov,,,,"Mar 07, 1992",0.15,12.5,-0.35,0.15,0.55,0,1,20,11,,0,0,2964,1058.6528284678254,1048.893789845164,1,6,7,2,3,0,0,1,0,0,Bogdan Guskov,,,,"Sep 12, 1992",0.0,4.5,-0.8333333333333334,0.16666666666666666,0.6666666666666666,4,0,6,4,,0,0,2691,1036.434158249042,1005.6410716760142,2,0,2,2,0,0,0,0,0,0,unknown,,,
,,unknown,Bogdan Guskov,,,,"Sep 12, 1992",0.0,4.5,-0.8333333333333334,0.16666666666666666,0.6666666666666666,4,0,6,4,,0,0,2691,1036.434158249042,1005.6410716760142,2,0,2,2,0,0,0,0,0,0,Nikita Krylov,,,,"Mar 07, 1992",0.15,12.5,-0.35,0.15,0.55,0,1,20,11,,0,0,2964,1058.6528284678254,1048.893789845164,1,6,7,2,3,0,0,1,0,0,unknown,,,
