id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Tatsuro Taira,,,,"Jan 27, 2000",0.25,9.125,1.0,0.5,0.875,0,1,8,7,,0,0,100,1085.9600256619028,1014.041401074235,0,2,1,1,1,2,1,0,0,0,HyunSung Park,,,,"Nov 04, 1995",0.0,7.8,0.8,1.0,1.0,5,0,5,5,,1,1,1137,1073.1493558722623,985.7926372287957,2,1,0,2,0,0,0,0,0,0,unknown,,,
,,unknown,HyunSung Park,,,,"Nov 04, 1995",0.0,7.8,0.8,1.0,1.0,5,0,5,5,,1,1,1137,1073.1493558722623,985.7926372287957,2,1,0,2,0,0,0,0,0,0,Tatsuro Taira,,,,"Jan 27, 2000",0.25,9.125,1.0,0.5,0.875,0,1,8,7,,0,0,100,1085.9600256619028,1014.041401074235,0,2,1,1,1,2,1,0,0,0,unknown,,,
,,unknown,Mateusz Rebecki,,,,"Nov 03, 1992",0.5,10.75,1.625,0.5,0.875,1,0,8,7,,0,0,2555,1086.9057676415587,1012.1990050577264,1,1,2,1,1,1,0,1,0,0,Chris Duncan,,,,"May 10, 1993",0.1111111111111111,2.5555555555555554,1.2222222222222223,0.1111111111111111,0.6666666666666666,2,0,9,6,,0,0,2514,1051.2460266141811,1008.5559968193791,2,2,2,1,0,1,1,0,0,0,unknown,,,
,,unknown,Chris Duncan,,,,"May 10, 1993",0.1111111111111111,2.5555555555555554,1.2222222222222223,0.1111111111111111,0.6666666666666666,2,0,9,6,,0,0,2514,1051.2460266141811,1008.5559968193791,2,2,2,1,0,1,1,0,0,0,Mateusz Rebecki,,,,"Nov 03, 1992",0.5,10.75,1.625,0.5,0.875,1,0,8,7,,0,0,2555,1086.9057676415587,1012.1990050577264,1,1,2,1,1,1,0,1,0,0,unknown,,,
,,unknown,Elves Brener,,,,"Sep 27, 1997",0.0,-13.5,-0.16666666666666666,-0.16666666666666666,0.6666666666666666,0,2,6,4,,0,0,682,1032.4201800585947,1032.5438059884489,3,0,0,0,0,1,1,1,0,0,Esteban Ribovics,,,,"Apr 27, 1996",0.5,20.25,-3.0,0.125,0.625,0,1,8,5,,0,0,1410,1032.2886728779447,1014.7714883582458,1,2,0,0,1,2,2,0,0,0,unknown,,,
,,unknown,Esteban Ribovics,,,,"Apr 27, 1996",0.5,20.25,-3.0,0.125,0.625,0,1,8,5,,0,0,1410,1032.2886728779447,1014.7714883582458,1,2,0,0,1,2,2,0,0,0,Elves Brener,,,,"Sep 27, 1997",0.0,-13.5,-0.16666666666666666,-0.16666666666666666,0.6666666666666666,0,2,6,4,,0,0,682,1032.4201800585947,1032.5438059884489,3,0,0,0,0,1,1,1,0,0,unknown,,,
,,unknown,Karol Rosa,,,,"Dec 30, 1994",0.16666666666666666,19.416666666666668,0.3333333333333333,0.0,0.6666666666666666,0,1,12,8,,0,0,1852,1044.2769558933726,1007.8593595494531,0,0,0,0,4,4,2,1,0,1,Nora Cornolle,,,,"Dec 06, 1989",0.2,14.8,-2.2,-0.2,0.8,1,0,5,4,,0,0,3786,1047.868699508732,1016.8636045147139,1,0,1,0,1,1,1,0,0,0,unknown,,,
,,unknown,Nora Cornolle,,,,"Dec 06, 1989",0.2,14.8,-2.2,-0.2,0.8,1,0,5,4,,0,0,3786,1047.868699508732,1016.8636045147139,1,0,1,0,1,1,1,0,0,0,Karol Rosa,,,,"Dec 30, 1994",0.16666666666666666,19.416666666666668,0.3333333333333333,0.0,0.6666666666666666,0,1,12,8,,0,0,1852,1044.2769558933726,1007.8593595494531,0,0,0,0,4,4,2,1,0,1,unknown,,,
,,unknown,Neil Magny,,,,"Aug 03, 1987",-0.18421052631578946,13.605263157894736,0.3684210526315789,-0.07894736842105263,0.6842105263157895,0,2,38,26,,0,0,4488,1130.314654818311,1058.2086709597831,4,8,3,4,8,7,2,2,0,0,Elizeu Zaleski dos Santos,,,,"Dec 11, 1986",-0.19047619047619047,12.619047619047619,-0.9047619047619048,0.047619047619047616,0.6666666666666666,0,1,21,14,,0,0,4849,1097.111811451662,1023.7562468714165,4,4,0,1,2,4,2,3,0,0,unknown,,,
,,unknown,Elizeu Zaleski dos Santos,,,,"Dec 11, 1986",-0.19047619047619047,12.619047619047619,-0.9047619047619048,0.047619047619047616,0.6666666666666666,0,1,21,14,,0,0,4849,1097.111811451662,1023.7562468714165,4,4,0,1,2,4,2,3,0,0,Neil Magny,,,,"Aug 03, 1987",-0.18421052631578946,13.605263157894736,0.3684210526315789,-0.07894736842105263,0.6842105263157895,0,2,38,26,,0,0,4488,1130.314654818311,1058.2086709597831,4,8,3,4,8,7,2,2,0,0,unknown,,,
,,unknown,Danny Silva,,,,"Jan 30, 1997",0.5,-5.0,2.25,0.25,1.0,4,0,4,4,,0,0,1132,1059.2437149859613,982.3458773509201,0,0,0,0,1,1,0,2,0,0,Kevin Vallejos,,,,"Dec 08, 2001",0.6,6.8,-0.4,0.0,0.6,3,0,5,3,,0,0,627,1015.4708315237732,981.9557094363265,1,2,0,0,1,1,0,0,0,0,unknown,,,
,,unknown,Kevin Vallejos,,,,"Dec 08, 2001",0.6,6.8,-0.4,0.0,0.6,3,0,5,3,,0,0,627,1015.4708315237732,981.9557094363265,1,2,0,0,1,1,0,0,0,0,Danny Silva,,,,"Jan 30, 1997",0.5,-5.0,2.25,0.25,1.0,4,0,4,4,,0,0,1132,1059.2437149859613,982.3458773509201,0,0,0,0,1,1,0,2,0,0,unknown,,,
,,unknown,Rinya Nakamura,,,,"Mar 23, 1995",0.375,14.5,1.75,0.625,0.875,0,1,8,7,,1,1,1769,1076.833582719065,988.8526587039017,1,1,1,1,2,2,0,0,0,0,Nathan Fletcher,,,,"Jan 03, 1998",0.0,15.0,1.0,0.0,0.6666666666666666,0,1,3,2,,0,0,815,1011.9423280765837,981.962907764518,0,0,1,1,0,0,0,1,0,0,unknown,,,
