id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Kamaru Usman,170,,,"May 11, 1987",0.47368421052631600,27.473684210526300,3.1578947368421100,-0.21052631578947400,0.8421052631578950,0,3,19,16,,10,8,4187,1188.613167811310,1103.432015841730,1,4,1,1,2,8,0,0,2,0,Joaquin Buckley,,,,"Apr 27, 1994",0.1875,8.375,0.625,-0.0625,0.6875,6,0,16,11,,0,0,2064,1118.609933483610,1048.763968924450,8,4,0,0,2,1,1,0,0,0,unknown,,,
,,unknown,Joaquin Buckley,170,,,"Apr 27, 1994",0.1875,8.375,0.625,-0.0625,0.6875,6,0,16,11,,0,0,2064,1118.609933483610,1048.763968924450,8,4,0,0,2,1,1,0,0,0,Kamaru Usman,,,,"May 11, 1987",0.47368421052631600,27.473684210526300,3.1578947368421100,-0.21052631578947400,0.8421052631578950,0,3,19,16,,10,8,4187,1188.613167811310,1103.432015841730,1,4,1,1,2,8,0,0,2,0,unknown,,,
,,unknown,Rose Namajunas,125,,,"Jun 29, 1992",0.2777777777777780,2.611111111111110,-0.1111111111111110,0.2777777777777780,0.6111111111111110,0,1,18,11,,8,4,2689,1090.8406226508300,1073.1738683296000,2,1,3,2,4,2,3,1,0,0,Miranda Maverick,,,,"Jul 01, 1997",0.0,14.583333333333300,0.6666666666666670,-0.16666666666666700,0.75,4,0,12,9,,0,0,903,1084.9011549854800,1006.2581759019400,1,1,1,1,4,3,1,0,0,0,unknown,,,
,,unknown,Miranda Maverick,125,,,"Jul 01, 1997",0.0,14.583333333333300,0.6666666666666670,-0.16666666666666700,0.75,4,0,12,9,,0,0,903,1084.9011549854800,1006.2581759019400,1,1,1,1,4,3,1,0,0,0,Rose Namajunas,,,,"Jun 29, 1992",0.2777777777777780,2.611111111111110,-0.1111111111111110,0.2777777777777780,0.6111111111111110,0,1,18,11,,8,4,2689,1090.8406226508300,1073.1738683296000,2,1,3,2,4,2,3,1,0,0,unknown,,,
,,unknown,Edmen Shahbazyan,185,,,"Nov 20, 1997",0.5,0.6428571428571430,-0.21428571428571400,-0.42857142857142900,0.6428571428571430,1,0,14,9,,0,0,824,1055.1025095489100,1033.043811735750,5,5,1,1,1,0,1,0,0,0,Andre Petroski,,,,"Jun 12, 1991",0.0,3.8181818181818200,2.3636363636363600,1.0,0.8181818181818180,3,0,11,9,,0,0,3177,1093.0214082027300,1005.7487219170900,3,1,0,2,2,2,0,1,0,0,unknown,,,
,,unknown,Andre Petroski,185,,,"Jun 12, 1991",0.0,3.8181818181818200,2.3636363636363600,1.0,0.8181818181818180,3,0,11,9,,0,0,3177,1093.0214082027300,1005.7487219170900,3,1,0,2,2,2,0,1,0,0,Edmen Shahbazyan,,,,"Nov 20, 1997",0.5,0.6428571428571430,-0.21428571428571400,-0.42857142857142900,0.6428571428571430,1,0,14,9,,0,0,824,1055.1025095489100,1033.043811735750,5,5,1,1,1,0,1,0,0,0,unknown,,,
,,unknown,Cody Garbrandt,135,,,"Jul 07, 1991",0.4117647058823530,-6.294117647058820,0.4117647058823530,-0.17647058823529400,0.6470588235294120,0,1,17,11,,3,1,2844,1075.551658592150,1062.74142068925,6,6,1,0,2,2,0,0,0,0,Raoni Barcelos,,,,"May 01, 1987",0.3125,3.25,1.5625,0.5625,0.6875,2,0,16,11,,0,0,4652,1064.157582332080,1007.19786840138,2,3,2,1,5,2,0,0,0,1,unknown,,,
,,unknown,Raoni Barcelos,135,,,"May 01, 1987",0.3125,3.25,1.5625,0.5625,0.6875,2,0,16,11,,0,0,4652,1064.157582332080,1007.19786840138,2,3,2,1,5,2,0,0,0,1,Cody Garbrandt,,,,"Jul 07, 1991",0.4117647058823530,-6.294117647058820,0.4117647058823530,-0.17647058823529400,0.6470588235294120,0,1,17,11,,3,1,2844,1075.551658592150,1062.74142068925,6,6,1,0,2,2,0,0,0,0,unknown,,,
,,unknown,Mansur Abdul-Malik,185,,,"Oct 07, 1997",0.25,7.75,-1.0,0.0,1.0,4,0,4,4,,0,0,875,1060.0171061411500,986.1028826518920,3,1,0,0,0,0,0,0,0,0,Cody Brundage,,,,"May 16, 1994",0.23076923076923100,-4.230769230769230,0.07692307692307690,-0.15384615384615400,0.38461538461538500,1,0,13,5,,0,0,2122,995.1245565468240,1022.7777587367600,4,2,1,2,0,2,0,0,0,0,unknown,,,
,,unknown,Cody Brundage,185,,,"May 16, 1994",0.23076923076923100,-4.230769230769230,0.07692307692307690,-0.15384615384615400,0.38461538461538500,1,0,13,5,,0,0,2122,995.1245565468240,1022.7777587367600,4,2,1,2,0,2,0,0,0,0,Mansur Abdul-Malik,,,,"Oct 07, 1997",0.25,7.75,-1.0,0.0,1.0,4,0,4,4,,0,0,875,1060.0171061411500,986.1028826518920,3,1,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Alonzo Menifield,205,,,"Oct 18, 1987",0.047619047619047600,1.2857142857142900,-0.38095238095238100,-0.047619047619047600,0.7142857142857140,2,0,21,15,,0,0,4517,1112.2111941226600,1015.4247792929100,4,8,0,2,2,2,1,1,0,0,Oumar Sy,,,,"Nov 21, 1995",0.0,18.333333333333300,2.0,0.6666666666666670,1.0,3,0,3,3,,0,0,1414,1043.9365413325500,969.8794490916080,0,0,1,1,0,1,0,0,0,0,unknown,,,
,,unknown,Oumar Sy,205,,,"Nov 21, 1995",0.0,18.333333333333300,2.0,0.6666666666666670,1.0,3,0,3,3,,0,0,1414,1043.9365413325500,969.8794490916080,0,0,1,1,0,1,0,0,0,0,Alonzo Menifield,,,,"Oct 18, 1987",0.047619047619047600,1.2857142857142900,-0.38095238095238100,-0.047619047619047600,0.7142857142857140,2,0,21,15,,0,0,4517,1112.2111941226600,1015.4247792929100,4,8,0,2,2,2,1,1,0,0,unknown,,,
,,unknown,Paul Craig,205,,,"Nov 27, 1987",-0.14285714285714300,-5.095238095238100,0.38095238095238100,0.6190476190476190,0.5238095238095240,0,3,21,11,,0,0,4379,1045.2637928519000,1058.1430024299900,4,4,6,4,0,2,0,0,0,0,Rodolfo Bellato,,,,"Feb 05, 1996",-0.3333333333333330,1.3333333333333300,0.6666666666666670,0.3333333333333330,0.5,3,0,6,3,,0,0,1471,1020.1422696129900,1005.4211797356300,3,2,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Rodolfo Bellato,205,,,"Feb 05, 1996",-0.3333333333333330,1.3333333333333300,0.6666666666666670,0.3333333333333330,0.5,3,0,6,3,,0,0,1471,1020.1422696129900,1005.4211797356300,3,2,0,0,0,0,0,0,0,0,Paul Craig,,,,"Nov 27, 1987",-0.14285714285714300,-5.095238095238100,0.38095238095238100,0.6190476190476190,0.5238095238095240,0,3,21,11,,0,0,4379,1045.2637928519000,1058.1430024299900,4,4,6,4,0,2,0,0,0,0,unknown,,,
