id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Johnny Walker,205,,,"Mar 30, 1992",-0.1875,6.4375,-0.3125,0.5625,0.5625,0,2,16,9,,0,0,2647,1051.0689938170300,1049.9729481478200,4,5,0,1,3,2,0,0,0,0,Zhang Mingyang,,,,"Aug 16, 1998",0.8,18.0,-0.4,0.0,1.0,5,0,5,5,,0,0,625,1074.9390609168700,993.137100414651,1,4,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Zhang Mingyang,205,,,"Aug 16, 1998",0.8,18.0,-0.4,0.0,1.0,5,0,5,5,,0,0,625,1074.9390609168700,993.137100414651,1,4,0,0,0,0,0,0,0,0,Johnny Walker,,,,"Mar 30, 1992",-0.1875,6.4375,-0.3125,0.5625,0.5625,0,2,16,9,,0,0,2647,1051.0689938170300,1049.9729481478200,4,5,0,1,3,2,0,0,0,0,unknown,,,
,,unknown,Brian Ortega,145,,,"Feb 21, 1991",0.21428571428571400,-30.357142857142900,0.07142857142857140,1.0,0.5714285714285710,0,1,14,8,,2,0,3134,1083.3320830662800,1087.2243983595100,2,3,2,2,1,2,0,0,0,0,Aljamain Sterling,,,,"Jul 31, 1989",-0.22727272727272700,29.318181818181800,0.8636363636363640,0.6363636363636360,0.7727272727272730,0,1,22,17,,5,4,3788,1174.4356315528300,1073.4477444435500,3,1,0,4,2,7,3,1,0,0,unknown,,,
,,unknown,Aljamain Sterling,145,,,"Jul 31, 1989",-0.22727272727272700,29.318181818181800,0.8636363636363640,0.6363636363636360,0.7727272727272730,0,1,22,17,,5,4,3788,1174.4356315528300,1073.4477444435500,3,1,0,4,2,7,3,1,0,0,Brian Ortega,,,,"Feb 21, 1991",0.21428571428571400,-30.357142857142900,0.07142857142857140,1.0,0.5714285714285710,0,1,14,8,,2,0,3134,1083.3320830662800,1087.2243983595100,2,3,2,2,1,2,0,0,0,0,unknown,,,
,,unknown,Sergei Pavlovich,265,,,"May 13, 1992",0.5454545454545450,2.3636363636363600,0.0,0.0,0.6363636363636360,1,0,11,7,,1,0,2827,1081.8812095722400,1099.8661116648400,3,6,0,0,1,1,0,0,0,0,Waldo Cortes-Acosta,,,,"Oct 03, 1991",0.4444444444444440,26.444444444444400,-0.1111111111111110,0.1111111111111110,0.8888888888888890,4,0,9,8,,0,0,3092,1099.2284515144300,1001.6475701675000,2,2,0,0,3,2,0,0,0,0,unknown,,,
,,unknown,Waldo Cortes-Acosta,265,,,"Oct 03, 1991",0.4444444444444440,26.444444444444400,-0.1111111111111110,0.1111111111111110,0.8888888888888890,4,0,9,8,,0,0,3092,1099.2284515144300,1001.6475701675000,2,2,0,0,3,2,0,0,0,0,Sergei Pavlovich,,,,"May 13, 1992",0.5454545454545450,2.3636363636363600,0.0,0.0,0.6363636363636360,1,0,11,7,,1,0,2827,1081.8812095722400,1099.8661116648400,3,6,0,0,1,1,0,0,0,0,unknown,,,
,,unknown,Sumudaerji,125,,,"Jan 20, 1996",0.1111111111111110,14.444444444444400,-1.5555555555555600,0.1111111111111110,0.4444444444444440,1,0,9,4,,0,0,1550,983.9972987953100,991.155951658916,0,1,3,1,1,2,0,1,0,0,Kevin Borjas,,,,"Dec 06, 1997",0.0,-0.4,-2.6,0.0,0.6,1,0,5,3,,0,0,850,1014.4820901375100,1002.3251497415900,0,1,0,0,2,2,0,0,0,0,unknown,,,
,,unknown,Kevin Borjas,125,,,"Dec 06, 1997",0.0,-0.4,-2.6,0.0,0.6,1,0,5,3,,0,0,850,1014.4820901375100,1002.3251497415900,0,1,0,0,2,2,0,0,0,0,Sumudaerji,,,,"Jan 20, 1996",0.1111111111111110,14.444444444444400,-1.5555555555555600,0.1111111111111110,0.4444444444444440,1,0,9,4,,0,0,1550,983.9972987953100,991.155951658916,0,1,3,1,1,2,0,1,0,0,unknown,,,
,,unknown,Taiyilake Nueraji,170,,,"Jan 12, 2001",1.0,24.0,0.0,0.0,1.0,2,0,2,2,,0,0,955,1033.2055471453400,1005.2265380741500,1,1,0,0,0,0,0,0,0,0,Kiefer Crosbie,,,,"Apr 05, 1990",0.0,6.666666666666670,-1.0,-1.0,0.0,0,3,3,0,,0,0,3407,955.5074329021270,1024.8189511352800,0,0,1,2,0,0,0,0,0,0,unknown,,,
,,unknown,Kiefer Crosbie,170,,,"Apr 05, 1990",0.0,6.666666666666670,-1.0,-1.0,0.0,0,3,3,0,,0,0,3407,955.5074329021270,1024.8189511352800,0,0,1,2,0,0,0,0,0,0,Taiyilake Nueraji,,,,"Jan 12, 2001",1.0,24.0,0.0,0.0,1.0,2,0,2,2,,0,0,955,1033.2055471453400,1005.2265380741500,1,1,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Maheshate,155,,,"Dec 01, 1999",-0.42857142857142900,-17.285714285714300,-0.8571428571428570,0.0,0.5714285714285710,0,1,7,4,,0,0,1,1010.6805270570400,1004.3466630012700,1,1,0,0,2,2,0,1,0,0,Gauge Young,,,,"Jul 14, 2000",0.0,-22.666666666666700,-6.0,-0.6666666666666670,0.0,0,3,3,0,,0,0,73,954.3930322791670,1017.0510002309900,0,0,0,0,2,1,0,0,0,0,unknown,,,
,,unknown,Gauge Young,155,,,"Jul 14, 2000",0.0,-22.666666666666700,-6.0,-0.6666666666666670,0.0,0,3,3,0,,0,0,73,954.3930322791670,1017.0510002309900,0,0,0,0,2,1,0,0,0,0,Maheshate,,,,"Dec 01, 1999",-0.42857142857142900,-17.285714285714300,-0.8571428571428570,0.0,0.5714285714285710,0,1,7,4,,0,0,1,1010.6805270570400,1004.3466630012700,1,1,0,0,2,2,0,1,0,0,unknown,,,
,,unknown,Lone'er Kavanagh,125,,,"Jun 09, 1999",0.4,2.6,0.8,-0.6,1.0,5,0,5,5,,0,0,293,1070.7038166693600,975.0528980267980,1,1,0,0,1,2,0,0,0,0,Charles Johnson,,,,"Jan 10, 1991",0.16666666666666700,13.916666666666700,-3.5,0.0,0.5,0,1,12,6,,0,0,3344,1016.7870078869200,1021.8281286847600,1,1,0,0,5,3,1,1,0,0,unknown,,,
,,unknown,Charles Johnson,125,,,"Jan 10, 1991",0.16666666666666700,13.916666666666700,-3.5,0.0,0.5,0,1,12,6,,0,0,3344,1016.7870078869200,1021.8281286847600,1,1,0,0,5,3,1,1,0,0,Lone'er Kavanagh,,,,"Jun 09, 1999",0.4,2.6,0.8,-0.6,1.0,5,0,5,5,,0,0,293,1070.7038166693600,975.0528980267980,1,1,0,0,1,2,0,0,0,0,unknown,,,
,,unknown,Rongzhu,155,,,"Mar 07, 2000",0.5454545454545450,3.090909090909090,1.0909090909090900,-0.2727272727272730,0.6363636363636360,1,0,11,7,,1,1,21,1049.3422205547100,1002.5656175885500,3,2,1,1,2,2,0,0,0,0,Austin Hubbard,,,,"Dec 22, 1991",0.0,3.9285714285714300,-0.2857142857142860,-0.2857142857142860,0.42857142857142900,0,2,14,6,,0,0,3026,975.4203950713690,1008.6862910803500,1,1,1,1,3,5,1,1,0,0,unknown,,,
,,unknown,Austin Hubbard,155,,,"Dec 22, 1991",0.0,3.9285714285714300,-0.2857142857142860,-0.2857142857142860,0.42857142857142900,0,2,14,6,,0,0,3026,975.4203950713690,1008.6862910803500,1,1,1,1,3,5,1,1,0,0,Rongzhu,,,,"Mar 07, 2000",0.5454545454545450,3.090909090909090,1.0909090909090900,-0.2727272727272730,0.6363636363636360,1,0,11,7,,1,1,21,1049.3422205547100,1002.5656175885500,3,2,1,1,2,2,0,0,0,0,unknown,,,
,,unknown,Michel Pereira,185,,,"Oct 06, 1993",0.25,3.625,0.125,0.25,0.6875,0,2,16,11,,0,0,2400,1090.3407374192300,1036.1279694048500,3,1,1,2,5,2,1,0,0,0,Kyle Daukaus,,,,"Feb 27, 1993",-0.4444444444444440,7.333333333333330,0.8888888888888890,1.4444444444444400,0.4444444444444440,0,2,9,4,,0,0,1746,1003.9482504602200,1030.3994819978300,1,1,1,0,3,2,0,0,0,0,unknown,,,
,,unknown,Kyle Daukaus,185,,,"Feb 27, 1993",-0.4444444444444440,7.333333333333330,0.8888888888888890,1.4444444444444400,0.4444444444444440,0,2,9,4,,0,0,1746,1003.9482504602200,1030.3994819978300,1,1,1,0,3,2,0,0,0,0,Michel Pereira,,,,"Oct 06, 1993",0.25,3.625,0.125,0.25,0.6875,0,2,16,11,,0,0,2400,1090.3407374192300,1036.1279694048500,3,1,1,2,5,2,1,0,0,0,unknown,,,
,,unknown,Yizha,145,,,"Jan 08, 1997",-0.1111111111111110,1.0,0.7777777777777780,0.7777777777777780,0.7777777777777780,0,1,9,7,,2,1,979,1066.2086454421700,1001.7340559324900,0,0,2,3,1,1,1,1,0,0,Westin Wilson,,,,"Jan 24, 1989",-0.25,-13.5,-0.5,1.75,0.25,1,0,4,1,,0,0,3801,979.8286419857300,1050.440559037000,2,1,0,1,0,0,0,0,0,0,unknown,,,
,,unknown,Westin Wilson,145,,,"Jan 24, 1989",-0.25,-13.5,-0.5,1.75,0.25,1,0,4,1,,0,0,3801,979.8286419857300,1050.440559037000,2,1,0,1,0,0,0,0,0,0,Yizha,,,,"Jan 08, 1997",-0.1111111111111110,1.0,0.7777777777777780,0.7777777777777780,0.7777777777777780,0,1,9,7,,2,1,979,1066.2086454421700,1001.7340559324900,0,0,2,3,1,1,1,1,0,0,unknown,,,
,,unknown,Xiao Long,135,,,"Apr 13, 1998",-0.16666666666666700,13.833333333333300,-1.3333333333333300,-1.1666666666666700,0.5,1,0,6,3,,0,0,596,1006.4712606734400,1011.986493682620,0,1,0,0,1,1,1,1,0,1,SuYoung You,,,,"Dec 11, 1995",0.0,7.0,3.8,-0.4,1.0,5,0,5,5,,0,0,1562,1072.5538433506100,983.1096994243340,0,0,0,0,1,3,1,0,0,0,unknown,,,
,,unknown,SuYoung You,135,,,"Dec 11, 1995",0.0,7.0,3.8,-0.4,1.0,5,0,5,5,,0,0,1562,1072.5538433506100,983.1096994243340,0,0,0,0,1,3,1,0,0,0,Xiao Long,,,,"Apr 13, 1998",-0.16666666666666700,13.833333333333300,-1.3333333333333300,-1.1666666666666700,0.5,1,0,6,3,,0,0,596,1006.4712606734400,1011.986493682620,0,1,0,0,1,1,1,1,0,1,unknown,,,
,,unknown,Uran Satybaldiev,205,,,"Aug 10, 1994",0.0,-22.0,0.0,0.0,0.0,0,2,2,0,,0,0,2071,976.5443476018090,1100.790567449160,0,0,0,0,1,1,0,0,0,0,Diyar Nurgozhay,,,,"Apr 22, 1997",0.3333333333333330,1.0,0.6666666666666670,-0.3333333333333330,0.6666666666666670,0,1,3,2,,0,0,1064,1013.8286060406300,995.1502345580780,1,1,0,1,0,0,0,0,0,0,unknown,,,
